PID,age,,,,,,,price
1000101,40,,,,,,,92857
1000102,40,,,,,,,50000
1000201,41,,,,,,,60000
1000202,73,,,,,,,92857
1000203,46,,,,,,,120000
1000301,83,,,,,,,100000
1000303,28,,,,,,,60000
1000401,63,,,,,,,100000
1000402,61,,,,,,,20000
1000601,37,,,,,,,20000
1000602,38,,,,,,,300000
1000701,56,,,,,,,150000
1000702,57,,,,,,,50000
1000703,27,,,,,,,30000
1000704,27,,,,,,,685000
1000801,48,,,,,,,37500
1000901,39,,,,,,,7500
1000902,47,,,,,,,37500
1001001,41,,,,,,,7500
1001002,75,,,,,,,60000
1001101,77,,,,,,,30000
1001301,83,,,,,,,30000
1001303,59,,,,,,,30000
1001701,68,,,,,,,30000
1001702,67,,,,,,,30000
1001801,67,,,,,,,30000
1001802,65,,,,,,,30000
1001803,34,,,,,,,30000
1001901,50,,,,,,,30000
1001902,47,,,,,,,30000
1001903,25,,,,,,,23333
1001904,23,,,,,,,40000
1002201,72,,,,,,,25000
1002202,69,,,,,,,87500
1002203,43,,,,,,,20000
1002204,46,,,,,,,300000
1002301,82,,,,,,,150000
1002302,77,,,,,,,116667
1002304,51,,,,,,,87500
1002305,36,,,,,,,75000
1002401,76,,,,,,,40000
1002601,83,,,,,,,50000
1002801,82,,,,,,,23333
1002802,79,,,,,,,75000
1003101,55,,,,,,,50000
1003102,52,,,,,,,5000
1003103,28,,,,,,,50000
1003105,21,,,,,,,100000
1003106,28,,,,,,,50000
1003201,77,,,,,,,50000
1003202,74,,,,,,,105000
1003203,46,,,,,,,125000
1003204,40,,,,,,,225000
1003301,61,,,,,,,105000
1003302,61,,,,,,,600000
1003303,36,,,,,,,100000
1003501,35,,,,,,,100000
1003502,34,,,,,,,30000
1003601,43,,,,,,,50000
1003602,36,,,,,,,35000
1003701,44,,,,,,,126667
1003702,43,,,,,,,50000
1003901,68,,,,,,,50000
1003902,66,,,,,,,50000
1004001,50,,,,,,,66667
1004002,46,,,,,,,50000
1004101,36,,,,,,,50000
1004102,35,,,,,,,66667
1004202,75,,,,,,,50000
1004502,49,,,,,,,50000
1004503,22,,,,,,,33333
1004504,17,,,,,,,50000
1004601,55,,,,,,,30000
1004602,49,,,,,,,30000
1004603,19,,,,,,,0
1004604,18,,,,,,,72000
1004701,80,,,,,,,72000
1004702,75,,,,,,,72000
1004801,37,,,,,,,75000
1004802,34,,,,,,,75000
1004901,40,,,,,,,33333
1004902,36,,,,,,,72000
1005101,67,,,,,,,50000
1005102,67,,,,,,,50000
1005103,38,,,,,,,72000
1005104,37,,,,,,,75000
1005105,37,,,,,,,75000
1005201,80,,,,,,,50000
1005202,71,,,,,,,16667
1005203,44,,,,,,,8333
1005301,79,,,,,,,25000
1005302,70,,,,,,,20000
1005501,45,,,,,,,50000
1005502,46,,,,,,,20000
1005503,71,,,,,,,16667
1005602,50,,,,,,,25000
1005603,28,,,,,,,25000
1005604,23,,,,,,,20000
1005605,22,,,,,,,16667
1005606,16,,,,,,,8333
1005608,54,,,,,,,25000
1005801,59,,,,,,,16667
1005802,86,,,,,,,25000
1006102,78,,,,,,,25000
1006103,52,,,,,,,7000
1006201,60,,,,,,,75000
1006202,57,,,,,,,2300
1006203,25,,,,,,,25000
1006204,24,,,,,,,25000
1006205,23,,,,,,,2500
1006301,69,,,,,,,75000
1006401,70,,,,,,,120000
1006402,68,,,,,,,2300
1006403,38,,,,,,,26250
1006404,35,,,,,,,25000
1006405,33,,,,,,,25000
1006501,84,,,,,,,2500
1006601,71,,,,,,,97500
1006701,75,,,,,,,50000
1006801,58,,,,,,,25000
1006802,75,,,,,,,20000
1007101,72,,,,,,,80000
1007103,44,,,,,,,26000
1007201,76,,,,,,,27000
1007202,72,,,,,,,44500
1007401,90,,,,,,,16700
1007402,84,,,,,,,13500
1007501,47,,,,,,,20600
1007502,42,,,,,,,16900
1007601,65,,,,,,,27500
1007602,62,,,,,,,3000
1007603,37,,,,,,,17500
1007701,74,,,,,,,116667
1007702,74,,,,,,,29000
1007801,71,,,,,,,27000
1007802,64,,,,,,,75000
1007901,80,,,,,,,91000
1007902,74,,,,,,,19500
1008001,71,,,,,,,4500
1008101,78,,,,,,,8400
1008102,76,,,,,,,15000
1008201,61,,,,,,,40000
1008202,57,,,,,,,25450
1008301,71,,,,,,,96750
1008302,38,,,,,,,39000
1008401,53,,,,,,,121667
1008402,50,,,,,,,250000
1008403,24,,,,,,,121667
1008404,22,,,,,,,75000
1008501,52,,,,,,,75000
1008502,46,,,,,,,50000
1008503,21,,,,,,,150000
1008504,19,,,,,,,85000
1008601,61,,,,,,,65000
1008602,55,,,,,,,80000
1008603,31,,,,,,,60000
1008604,29,,,,,,,60000
1008801,43,,,,,,,70000
1008802,36,,,,,,,75000
1008901,41,,,,,,,50000
1008902,37,,,,,,,135000
1009201,35,,,,,,,85000
1009601,78,,,,,,,65000
1009901,73,,,,,,,80000
1009902,65,,,,,,,60000
1010001,32,,,,,,,60000
1010101,46,,,,,,,70000
1010102,42,,,,,,,70000
1010201,46,,,,,,,75000
1010202,42,,,,,,,50000
1010301,48,,,,,,,200000
1010302,45,,,,,,,50000
1010303,68,,,,,,,75000
1010304,68,,,,,,,65000
1010501,46,,,,,,,125000
1010502,42,,,,,,,50000
1010503,16,,,,,,,50000
1010701,71,,,,,,,150000
1010702,70,,,,,,,200000
1010801,76,,,,,,,50000
1010802,68,,,,,,,75000
1010803,45,,,,,,,65000
1010901,73,,,,,,,125000
1010902,68,,,,,,,50000
1010903,47,,,,,,,50000
1011001,80,,,,,,,150000
1011101,70,,,,,,,0
1011102,64,,,,,,,10000
1011201,66,,,,,,,83333
1011202,60,,,,,,,75000
1011301,53,,,,,,,25000
1011302,49,,,,,,,70000
1011303,27,,,,,,,60000
1011304,25,,,,,,,70000
1011401,73,,,,,,,60000
1011402,70,,,,,,,48333
1011501,73,,,,,,,62333
1011502,73,,,,,,,48333
1011503,44,,,,,,,33333
1011504,42,,,,,,,40000
1011701,53,,,,,,,16667
1011801,41,,,,,,,33333
1011802,38,,,,,,,40000
1011901,50,,,,,,,16667
1011902,45,,,,,,,50000
1011903,19,,,,,,,25000
1012001,76,,,,,,,50000
1012201,44,,,,,,,50000
1012202,34,,,,,,,25000
1012401,51,,,,,,,50000
1012402,21,,,,,,,70000
1012403,18,,,,,,,37500
1012701,46,,,,,,,200000
1012702,44,,,,,,,37500
1012801,69,,,,,,,15000
1012802,67,,,,,,,50000
1012901,65,,,,,,,66667
1012902,60,,,,,,,50000
1013001,68,,,,,,,50000
1013002,65,,,,,,,2500
1013003,35,,,,,,,2500
1013201,53,,,,,,,55000
1013202,52,,,,,,,25000
1013203,27,,,,,,,15000
1013204,24,,,,,,,29000
1013301,52,,,,,,,55000
1013302,51,,,,,,,30000
1013303,23,,,,,,,20000
1013304,18,,,,,,,15000
1013601,53,,,,,,,10000
1013602,49,,,,,,,40000
1013603,23,,,,,,,40000
1013604,20,,,,,,,25000
1013701,63,,,,,,,25000
1013702,58,,,,,,,83333
1013703,29,,,,,,,30000
1013704,25,,,,,,,71667
1013801,57,,,,,,,150000
1013802,54,,,,,,,150000
1013803,27,,,,,,,37500
1013804,24,,,,,,,71667
1013901,50,,,,,,,71667
1013902,48,,,,,,,75000
1013903,20,,,,,,,75000
1013904,18,,,,,,,50000
1014001,52,,,,,,,20000
1014002,49,,,,,,,75000
1014003,22,,,,,,,75000
1014101,89,,,,,,,50000
1014102,85,,,,,,,0
1014201,54,,,,,,,3333
1014202,50,,,,,,,5000
1014203,76,,,,,,,50000
1014204,26,,,,,,,200000
1014205,20,,,,,,,166667
1014301,65,,,,,,,90000
1014302,65,,,,,,,50000
1014401,65,,,,,,,260000
1014402,61,,,,,,,16800
1014403,35,,,,,,,50000
1014404,32,,,,,,,200000
1014501,47,,,,,,,260000
1014502,47,,,,,,,16800
1014505,19,,,,,,,50000
1014601,57,,,,,,,16800
1014602,56,,,,,,,50000
1014603,29,,,,,,,225000
1014604,27,,,,,,,100000
1014701,65,,,,,,,50000
1014702,61,,,,,,,40000
1014703,32,,,,,,,16800
1014704,30,,,,,,,50000
1014801,46,,,,,,,90000
1014802,45,,,,,,,130000
1014803,17,,,,,,,300000
1014901,50,,,,,,,150000
1014902,47,,,,,,,300000
1014903,20,,,,,,,16800
1014904,18,,,,,,,100000
1015101,62,,,,,,,10000
1015102,61,,,,,,,250000
1015103,35,,,,,,,250000
1015104,33,,,,,,,22500
1015301,47,,,,,,,10000
1015302,43,,,,,,,22500
1015303,18,,,,,,,10000
1015304,16,,,,,,,25000
1015401,85,,,,,,,25000
1015402,71,,,,,,,22500
1015601,53,,,,,,,10000
1015602,49,,,,,,,25000
1015603,23,,,,,,,25000
1015604,19,,,,,,,22500
1015701,43,,,,,,,30000
1015702,43,,,,,,,400000
1015703,16,,,,,,,400000
1015801,45,,,,,,,10000
1015802,42,,,,,,,10000
1015901,75,,,,,,,3333
1015902,60,,,,,,,125000
1015903,20,,,,,,,10000
1016001,64,,,,,,,170000
1016002,62,,,,,,,340000
1016003,36,,,,,,,59000
1016101,81,,,,,,,0
1016202,47,,,,,,,20000
1016203,49,,,,,,,#DIV/0!
1016204,18,,,,,,,#DIV/0!
1016401,42,,,,,,,#DIV/0!
1016402,39,,,,,,,170000
1016501,45,,,,,,,340000
1016502,42,,,,,,,10000
1016601,71,,,,,,,30000
1016602,49,,,,,,,45000
1016701,62,,,,,,,12000
1016702,61,,,,,,,0
1016703,35,,,,,,,0
1016801,56,,,,,,,3333
1016802,57,,,,,,,0
1016803,25,,,,,,,0
1016804,24,,,,,,,0
1016901,90,,,,,,,60000
1017002,59,,,,,,,48000
1017003,39,,,,,,,90000
1017102,73,,,,,,,200000
1017103,38,,,,,,,100000
1017201,85,,,,,,,30000
1017302,31,,,,,,,15000
1017501,37,,,,,,,15000
1017502,37,,,,,,,30000
1017701,44,,,,,,,37500
1017702,38,,,,,,,20000
1017801,55,,,,,,,21750
1017802,52,,,,,,,300000
1017803,24,,,,,,,90000
1017804,21,,,,,,,37500
1017901,58,,,,,,,125000
1018001,58,,,,,,,20000
1018101,56,,,,,,,21750
1018102,53,,,,,,,300000
1018104,26,,,,,,,90000
1018105,23,,,,,,,40000
1018201,48,,,,,,,105000
1018202,45,,,,,,,166667
1018203,18,,,,,,,32500
1018204,15,,,,,,,166667
1018301,73,,,,,,,120000
1018302,69,,,,,,,32500
1018303,45,,,,,,,80000
1018304,45,,,,,,,166667
1018401,75,,,,,,,70000
1018402,74,,,,,,,15000
1018501,31,,,,,,,#DIV/0!
1018502,55,,,,,,,500000
1018701,47,,,,,,,500000
1018702,48,,,,,,,500000
1018703,17,,,,,,,37667
1018704,15,,,,,,,392500
1018801,70,,,,,,,153333
1018802,67,,,,,,,15000
1018803,39,,,,,,,#DIV/0!
1018901,34,,,,,,,500000
1018902,32,,,,,,,500000
1019101,83,,,,,,,500000
1019102,83,,,,,,,37667
1019201,55,,,,,,,392500
1019202,51,,,,,,,153333
1019203,19,,,,,,,900000
1019204,17,,,,,,,200000
1019301,44,,,,,,,25000
1019302,43,,,,,,,150000
1019501,70,,,,,,,50000
1019601,42,,,,,,,540000
1019602,42,,,,,,,200000
1019701,54,,,,,,,25000
1019702,54,,,,,,,150000
1019703,30,,,,,,,50000
1019704,25,,,,,,,50000
1019705,23,,,,,,,133333
1019801,44,,,,,,,75000
1019802,44,,,,,,,133333
1020101,67,,,,,,,75000
1020102,60,,,,,,,20000
1020103,40,,,,,,,10000
1020201,81,,,,,,,130000
1020202,75,,,,,,,20000
1020301,71,,,,,,,20000
1020302,68,,,,,,,0
1020401,70,,,,,,,5000
1020601,66,,,,,,,8000
1020602,57,,,,,,,8000
1020603,30,,,,,,,23000
1020701,63,,,,,,,30350
1020702,37,,,,,,,80000
1020703,37,,,,,,,100000
1020801,50,,,,,,,140000
1020802,80,,,,,,,30000
1020803,46,,,,,,,30000
1020901,47,,,,,,,100000
1020902,25,,,,,,,680000
1020903,20,,,,,,,110000
1021001,78,,,,,,,60000
1021002,79,,,,,,,50000
1021101,57,,,,,,,30000
1021102,58,,,,,,,150000
1021103,31,,,,,,,37500
1021104,27,,,,,,,150000
1021105,25,,,,,,,37500
1021201,69,,,,,,,25000
1021301,77,,,,,,,500000
1021302,75,,,,,,,500000
1021303,41,,,,,,,25000
1021401,85,,,,,,,500000
1021402,80,,,,,,,500000
1021501,76,,,,,,,30000
1021502,74,,,,,,,311667
1021503,47,,,,,,,66000
1021504,21,,,,,,,30000
1021505,19,,,,,,,80000
1021701,84,,,,,,,311667
1021702,81,,,,,,,500000
1021801,52,,,,,,,37667
1021802,45,,,,,,,78750
1021803,19,,,,,,,20000
1021901,80,,,,,,,21000
1022101,37,,,,,,,16667
1022102,37,,,,,,,19500
1022501,39,,,,,,,52500
1022502,39,,,,,,,26750
1022601,57,,,,,,,5000
1022602,58,,,,,,,37667
1022603,32,,,,,,,78750
1022604,27,,,,,,,500000
1022605,32,,,,,,,20000
1022701,49,,,,,,,21000
1022702,58,,,,,,,16667
1022703,35,,,,,,,19500
1022707,30,,,,,,,52500
1022708,37,,,,,,,26750
1022802,75,,,,,,,5000
1022803,52,,,,,,,16000
1022901,67,,,,,,,37667
1022902,72,,,,,,,78750
1023101,44,,,,,,,20000
1023102,38,,,,,,,16667
1023501,60,,,,,,,19500
1023502,62,,,,,,,52500
1023503,30,,,,,,,26750
1023504,30,,,,,,,16000
1023505,31,,,,,,,78750
1023601,57,,,,,,,20000
1023602,55,,,,,,,19500
1023603,28,,,,,,,52500
1023701,44,,,,,,,26750
1023702,38,,,,,,,16000
1023703,83,,,,,,,100000
1023802,69,,,,,,,100000
1023803,45,,,,,,,50000
1023901,78,,,,,,,40000
1023902,78,,,,,,,36667
1024001,71,,,,,,,53333
1024002,68,,,,,,,45000
1024003,43,,,,,,,50000
1024004,39,,,,,,,125000
1024101,52,,,,,,,40000
1024102,48,,,,,,,36667
1024103,16,,,,,,,53333
1024201,65,,,,,,,45000
1024202,63,,,,,,,75000
1024203,35,,,,,,,100000
1024204,30,,,,,,,36667
1024302,82,,,,,,,75000
1024303,48,,,,,,,116667
1024401,64,,,,,,,45000
1024402,39,,,,,,,45000
1024501,47,,,,,,,50000
1024502,25,,,,,,,45000
1024503,21,,,,,,,45000
1024504,19,,,,,,,50000
1024801,58,,,,,,,100000
1024802,57,,,,,,,100000
1024803,24,,,,,,,100000
1024901,63,,,,,,,100000
1024902,35,,,,,,,100000
1025001,46,,,,,,,100000
1025002,46,,,,,,,32400
1025003,17,,,,,,,20000
1025101,46,,,,,,,25000
1025102,38,,,,,,,25000
1025401,75,,,,,,,66667
1025402,72,,,,,,,50000
1025801,69,,,,,,,23500
1025802,66,,,,,,,400000
1025803,39,,,,,,,217500
1025804,38,,,,,,,23500
1025901,34,,,,,,,400000
1025902,66,,,,,,,217500
1025903,89,,,,,,,50000
1025904,36,,,,,,,37500
1026001,58,,,,,,,62500
1026002,56,,,,,,,25000
1026201,63,,,,,,,50000
1026202,58,,,,,,,37500
1026203,33,,,,,,,62500
1026401,42,,,,,,,175000
1026402,45,,,,,,,175000
1026501,57,,,,,,,175000
1026502,54,,,,,,,175000
1026503,22,,,,,,,41667
1026504,19,,,,,,,50000
1026601,89,,,,,,,125000
1026602,33,,,,,,,41667
1026603,20,,,,,,,50000
1026604,34,,,,,,,41667
1026701,75,,,,,,,50000
1026702,66,,,,,,,25000
1026703,39,,,,,,,50000
1026707,41,,,,,,,50000
1027001,51,,,,,,,125000
1027002,46,,,,,,,25000
1027003,21,,,,,,,25000
1027004,19,,,,,,,30000
1027101,70,,,,,,,50000
1027102,70,,,,,,,125000
1027103,42,,,,,,,50000
1027301,55,,,,,,,41667
1027302,52,,,,,,,50000
1027303,28,,,,,,,35000
1027401,59,,,,,,,41667
1027402,33,,,,,,,50000
1027403,31,,,,,,,50000
1027501,71,,,,,,,41667
1027502,66,,,,,,,50000
1027901,33,,,,,,,33333
1027902,35,,,,,,,50000
1028001,40,,,,,,,50000
1028101,48,,,,,,,30000
1028102,40,,,,,,,25000
