,code,all
0,9320308,5
1,93203012,6
2,93203014,5
3,93203013,5
4,9320305,5
5,9320304,6
6,9320309,5
7,93203011,5
8,93203010,6
9,9320301,6
10,93203015,5
11,9320303,6
12,9320306,6
13,9320302,6
14,9320307,6
15,93203016,6
16,93203018,6
17,93203017,6
18,9310108,5
19,93101012,5
20,93101014,6
21,9310109,5
22,93101013,5
23,93101015,6
24,9310106,6
25,93101011,5
26,93101018,6
27,9310105,6
28,9310102,6
29,93101016,6
30,93101010,5
31,93101017,9
32,9310104,6
33,9310101,6
34,9310107,4
35,9310103,6
36,9110508,6
37,91105013,6
38,9110509,6
39,9110507,6
40,91105010,9
41,91105014,6
42,9110504,6
43,9110506,6
44,9110502,6
45,91105011,6
46,9110505,6
47,9112409,5
48,9112407,5
49,9112405,6
50,9112408,6
51,9112406,6
52,9112401,6
53,91124011,6
54,9112402,6
55,91124015,9
56,91124013,6
57,91124012,6
58,9112403,6
59,91124014,6
60,91124010,6
61,9112404,9
62,91124017,9
63,9311009,3
64,93110011,6
65,93110017,6
66,9311008,6
67,9311002,6
68,93110013,6
69,9311007,5
70,93110010,6
71,9311006,6
72,93110012,6
73,93110015,6
74,93110014,6
75,9311004,6
76,9311001,6
77,93110016,6
78,9311005,6
79,9312609,6
80,9312607,6
81,93126013,6
82,93126011,6
83,93126010,6
84,93126016,6
85,9312608,6
86,9312605,6
87,93126012,6
88,9312604,6
89,93126014,6
90,9312606,6
91,9230507,6
92,92305013,6
93,92305014,6
94,92305011,6
95,92305010,6
96,9230508,6
97,9230502,6
98,9230504,6
99,9230509,3
100,92305015,6
101,9230406,3
102,92304013,9
103,9230407,6
104,9230409,6
105,9230401,6
106,9230405,9
107,92304012,6
108,92304016,3
109,92304014,6
110,92304015,6
111,92304010,9
112,9310208,6
113,93102013,6
114,9310203,6
115,93102010,9
116,9310206,6
117,93102014,6
118,93102011,6
119,9310209,6
120,93102015,6
121,9310202,6
122,93102012,3
123,9310205,6
124,93102016,6
125,9333707,6
126,93337011,6
127,93337017,6
128,93337013,6
129,93337012,6
130,93337010,3
131,9333701,3
132,9333708,6
133,9333709,6
134,93337016,3
135,9333702,6
136,93241013,6
137,9324109,6
138,93241012,6
139,93241018,9
140,93241015,6
141,93241014,6
142,9324108,6
143,9324103,6
144,9324102,6
145,93241010,6
146,9324107,6
147,93241011,6
148,9324104,6
149,9324101,9
150,9324105,6
151,93138013,5
152,9313807,5
153,93138014,6
154,93138011,6
155,93138015,6
156,9313808,6
157,93138010,4
158,9313804,6
159,93138012,6
160,9313805,6
161,9313801,6
162,9313802,6
163,9313809,6
164,93138016,6
165,9313806,9
166,93138017,9
167,93837014,9
168,9383708,6
169,93837011,6
170,9383705,6
171,93837010,6
172,93837013,6
173,9383704,6
174,9383707,6
175,93837012,6
176,9383709,6
177,93837016,6
178,9383701,6
179,93837015,6
180,9383706,6
181,93735010,6
182,9373508,6
183,93735011,5
184,93735013,6
185,9373502,3
186,93735015,6
187,93735016,6
188,93735014,6
189,9373505,6
190,93735012,6
191,9373509,6
192,9373506,6
193,93735017,9
194,9373507,6
195,93204010,6
196,93204014,6
197,93204011,6
198,9320408,6
199,9320405,6
200,9320406,6
201,9320409,6
202,93204013,6
203,93204015,6
204,93204012,3
205,9320402,6
206,91102010,6
207,9110207,6
208,9110208,6
209,9110209,6
210,91102013,6
211,9110204,6
212,91102016,6
213,91102011,9
214,91102015,9
215,9110206,6
216,9110205,6
217,91102012,9
218,91102014,3
219,9110201,6
220,9320608,4
221,93206011,4
222,93206014,4
223,9320605,6
224,93206013,5
225,9320609,5
226,93206010,6
227,9320601,6
228,93206018,3
229,93206015,5
230,9320604,6
231,93206012,6
232,9320606,6
233,9320603,3
234,93206016,6
235,9320607,6
236,9320602,6
237,93206017,6
238,9320109,6
239,93201013,5
240,93201010,6
241,9320104,6
242,9320106,6
243,93201017,6
244,9320102,6
245,9320105,6
246,93201011,5
247,9320108,5
248,9320101,6
249,93201014,6
250,93201012,5
251,93201015,6
252,93201016,6
253,9320107,6
254,9320103,6
255,9323109,6
256,93231013,6
257,93231014,6
258,9323104,6
259,93231016,6
260,9323106,6
261,93231010,6
262,93231011,6
263,9323107,6
264,9323108,6
265,9323101,6
266,9323102,6
267,93231012,6
268,9323105,6
269,9323103,9
270,9343708,6
271,93437014,6
272,93437013,5
273,9343709,6
274,93437011,6
275,9343705,6
276,93437012,6
277,93437016,3
278,9343702,6
279,9343707,6
280,93437010,3
281,93437015,9
282,93532013,6
283,93532014,6
284,93532012,6
285,93532010,6
286,93532011,6
287,9353208,6
288,93532015,6
289,9353205,6
290,9353207,6
291,9353209,9
292,93234014,6
293,93234013,6
294,9323409,6
295,9323408,6
296,93234015,6
297,93234012,6
298,93234011,6
299,93234016,6
300,9323407,6
301,93234010,6
302,9323404,9
303,9323401,6
304,9323403,6
305,9323402,6
306,9323406,6
307,9323405,6
308,93234017,6
309,93127014,6
310,93127011,6
311,9312705,9
312,93127013,5
313,9312708,5
314,93127016,6
315,93127015,6
316,9312707,6
317,93127010,6
318,9312704,6
319,93127012,6
320,9312709,3
321,9312706,3
322,9312702,6
323,93741014,6
324,93741010,6
325,93741011,6
326,9374102,6
327,9374109,3
328,93741013,6
329,93741012,6
330,9374108,9
331,93113015,6
332,93113016,6
333,93113014,6
334,93113013,5
335,93113010,6
336,9311307,6
337,93113011,3
338,9311301,3
339,93113017,6
340,9311306,6
341,93113012,6
342,9311305,6
343,9311304,6
344,9311308,6
345,9311302,6
346,9311303,9
347,9311309,9
348,92109015,6
349,9210909,4
350,9210905,5
351,92109011,4
352,9210906,5
353,92109013,5
354,9210908,5
355,92109014,5
356,9210907,6
357,92109017,9
358,9210903,6
359,9210901,6
360,9210904,5
361,92109010,5
362,92109016,6
363,92109012,6
364,9210902,6
365,9370109,6
366,93701014,5
367,93701011,5
368,9370105,6
369,9370108,6
370,93701010,6
371,9370101,6
372,9370104,6
373,93701015,6
374,93701016,6
375,93701017,6
376,93701012,6
377,93701013,5
378,9370107,6
379,9370103,6
380,9370102,6
381,9210106,6
382,92101012,6
383,9210101,6
384,9210105,6
385,92101013,9
386,9210108,6
387,92101018,9
388,92101011,6
389,9210107,3
390,92101016,6
391,92101010,9
392,92101014,9
393,9210102,6
394,92101015,6
395,9210104,6
396,9210109,6
397,9210103,6
398,92331013,5
399,9233108,5
400,92331014,6
401,92331015,6
402,92331011,5
403,92331012,6
404,92331010,6
405,9233109,6
406,9233107,6
407,9233105,6
408,9233102,6
409,92331016,6
410,9233104,9
411,9233101,6
412,92331017,3
413,9233106,6
414,9233103,6
415,93137011,5
416,9313708,4
417,9313705,5
418,93137013,5
419,93137010,5
420,9313707,5
421,93137015,6
422,93137012,6
423,9313704,6
424,93137016,6
425,9313709,6
426,9313706,6
427,9313701,5
428,93137014,6
429,9313702,6
430,93119011,6
431,9311908,5
432,93119013,9
433,93119014,6
434,93119012,6
435,9311909,4
436,9311902,9
437,9311907,5
438,93119017,6
439,93119016,6
440,9311906,6
441,9311901,6
442,9311903,9
443,93119010,6
444,9311905,6
445,93119015,3
446,9311904,6
447,93119018,9
448,93103017,6
449,93103013,6
450,93103016,3
451,93103010,6
452,9310307,9
453,93103015,6
454,93103011,6
455,91110016,6
456,91110013,6
457,91110015,3
458,91110010,6
459,9111009,6
460,91110017,3
461,9111004,9
462,9111007,6
463,92301013,5
464,9230104,6
465,92301014,6
466,9230108,6
467,92301010,6
468,92301015,6
469,9230107,5
470,9230109,6
471,92301016,6
472,92301011,6
473,9230105,6
474,92301012,6
475,9230101,6
476,9230102,3
477,9230106,6
478,93807014,9
479,9380707,6
480,9380704,6
481,9380709,6
482,9380703,6
483,93807013,6
484,93807012,6
485,93807011,6
486,93807015,6
487,9380706,6
488,93807010,9
489,9380701,6
490,9380705,6
491,9380708,6
492,93104013,6
493,93104010,9
494,93104012,6
495,9310409,6
496,9310407,9
497,9310401,6
498,93108014,6
499,93108013,6
500,93108015,3
501,93108016,9
502,93108010,6
503,93404013,5
504,93404014,6
505,9340408,5
506,9340409,6
507,93404012,6
508,93404010,5
509,93404015,9
510,93404016,6
511,93404011,6
512,9340406,6
513,9340405,6
514,9340407,5
515,9340402,3
516,9340404,6
517,9340401,6
518,91106013,3
519,91106014,6
520,9110606,6
521,9110605,6
522,91106010,6
523,9110604,6
524,9110601,9
525,91106011,6
526,9110608,6
527,91106015,6
528,9110609,6
529,91101013,5
530,9110107,4
531,9110108,6
532,91101015,3
533,91101010,6
534,9110104,6
535,91101016,6
536,91101014,6
537,9110106,6
538,9110101,6
539,9110103,9
540,9110109,6
541,9110102,6
542,91101011,3
543,9110105,6
544,91101012,3
545,93403013,5
546,93403015,6
547,93403014,5
548,9340308,5
549,9340306,6
550,9340307,5
551,93403011,6
552,93403010,5
553,9340301,6
554,9340309,6
555,93403012,6
556,9340302,6
557,93403016,6
558,9340304,6
559,9340305,6
560,93403018,9
561,93403017,6
562,91116015,3
