,loc_code,all
0,921090,4
1,939010,9
2,933380,6
3,936450,9
4,932360,6
5,939020,7
6,921100,9
7,936460,9
8,933390,9
9,932370,6
10,931350,6
11,921110,6
12,936470,9
13,932380,6
14,936480,6
15,921120,6
16,932390,6
17,931370,4
18,921130,9
19,938030,6
20,932400,6
21,937010,5
22,931380,5
23,921140,9
24,932410,9
25,937020,4
26,921150,6
27,938050,5
28,937030,6
29,921080,6
30,936010,6
31,938060,6
32,937040,6
33,936020,4
34,938070,6
35,937050,3
36,936030,8
37,938080,6
38,935010,5
39,937060,6
40,926310,6
41,936040,9
42,938090,5
43,935020,5
44,937070,3
45,938100,9
46,935030,6
47,937080,6
48,934010,5
49,936060,9
50,938110,6
51,935040,6
52,937090,9
53,934020,6
54,935050,6
55,937100,6
56,934030,4
57,933010,6
58,935060,9
59,934040,5
60,933020,6
61,911010,5
62,934050,6
63,933030,6
64,932010,5
65,911020,6
66,934060,3
67,923310,8
68,932020,6
69,911030,6
70,934070,6
71,923320,9
72,932030,7
73,934080,5
74,911040,6
75,931010,4
76,922310,6
77,932040,6
78,911050,6
79,931020,6
80,932050,9
81,911060,6
82,931030,6
83,932060,7
84,911070,6
85,921310,6
86,931040,9
87,932070,8
88,911080,6
89,931050,9
90,911090,6
91,929010,9
92,931060,6
93,911100,6
94,931070,9
95,911110,6
96,931080,6
97,911120,6
98,931090,6
99,911130,6
100,931100,6
101,911140,9
102,931110,6
103,911150,6
104,931120,3
105,911160,6
106,931130,6
107,926010,9
108,911170,6
109,931140,6
110,926020,6
111,938310,6
112,911180,6
113,931150,6
114,926030,6
115,938320,6
116,925010,6
117,911190,6
118,931160,6
119,926040,6
120,938330,6
121,925020,6
122,937310,6
123,911200,6
124,931170,6
125,938340,6
126,925030,6
127,937320,6
128,911210,9
129,924010,6
130,931180,6
131,938350,5
132,925040,6
133,937330,6
134,911220,6
135,924020,6
136,931190,8
137,936310,8
138,938360,9
139,925050,3
140,937340,3
141,911230,5
142,924030,6
143,931200,5
144,936320,9
145,938370,6
146,923010,5
147,937350,5
148,911240,5
149,924040,6
150,931210,9
151,936330,6
152,923020,9
153,938380,6
154,935310,6
155,931320,6
156,937360,6
157,911250,6
158,924050,9
159,931220,5
160,923030,6
161,938390,6
162,935320,6
163,937370,6
164,922010,3
165,931230,6
166,936350,9
167,923040,9
168,938400,6
169,935330,8
170,937380,6
171,922020,6
172,934310,6
173,931240,5
174,936360,9
175,923050,6
176,935340,6
177,937390,6
178,922030,3
179,934320,3
180,921010,9
181,931250,9
182,923060,6
183,936370,6
184,935350,6
185,922040,3
186,937400,9
187,934330,9
188,931260,6
189,936380,9
190,921020,6
191,923070,9
192,935360,9
193,933310,6
194,937410,6
195,922050,6
196,934340,6
197,931270,5
198,921030,6
199,923080,6
200,933320,6
201,935370,6
202,936390,6
203,937420,6
204,922060,3
205,934350,6
206,936400,9
207,921040,6
208,933330,6
209,935380,5
210,932310,5
211,922070,6
212,934360,6
213,937430,9
214,921050,6
215,936410,9
216,933340,6
217,932320,6
218,934370,6
219,921060,9
220,936420,6
221,933350,6
222,932330,6
223,934380,4
224,921070,6
225,936430,9
226,933360,6
227,932340,5
228,936440,6
229,933370,6
230,932350,6
