,PID,M_ID,nature,traffic,food,info,facility,kind,total,loc_code,money,age,age_group,money_group,label_group,a_c,all
0,1000101,101372,5,4,4,4,4,4,4,932030,92857,40,3,2,8,강원 강릉시,7
1,1000102,101372,5,4,4,4,4,4,4,932030,92857,40,3,2,8,강원 강릉시,7
2,1002203,118089,4,4,4,4,4,4,4,932030,50000,43,3,2,8,강원 강릉시,7
3,1005104,106353,4,4,4,4,4,4,4,932030,66667,37,3,2,8,강원 강릉시,7
4,1005104,122743,4,4,4,4,4,4,4,932030,50000,37,3,2,8,강원 강릉시,7
5,1010202,106465,5,3,4,3,3,4,4,932030,50000,42,3,2,8,강원 강릉시,7
6,1016501,117151,4,4,4,4,4,4,4,932030,85000,45,3,2,8,강원 강릉시,7
7,1016502,117151,4,4,4,4,4,4,4,932030,85000,42,3,2,8,강원 강릉시,7
8,1026401,118750,4,4,4,4,4,4,4,932030,66667,42,3,2,8,강원 강릉시,7
9,1026402,118750,4,4,4,4,4,4,4,932030,66667,45,3,2,8,강원 강릉시,7
10,1031702,116059,4,5,4,4,5,5,4,932030,55556,35,3,2,8,강원 강릉시,7
11,1031703,116059,4,5,4,4,5,5,4,932030,55556,33,3,2,8,강원 강릉시,7
12,1034301,119622,4,4,4,3,4,4,4,932030,68125,42,3,2,8,강원 강릉시,7
13,1034302,119622,4,4,4,3,4,4,4,932030,68125,39,3,2,8,강원 강릉시,7
14,1036901,119749,4,4,4,4,4,4,4,932030,66667,39,3,2,8,강원 강릉시,7
15,1044801,120822,4,5,4,5,5,4,4,932030,55556,44,3,2,8,강원 강릉시,7
16,1044802,120822,4,5,4,5,5,4,4,932030,55556,43,3,2,8,강원 강릉시,7
17,1051005,120468,4,4,4,4,4,4,4,932030,75000,40,3,2,8,강원 강릉시,7
18,1168001,300893,5,4,4,4,4,4,4,932030,62500,44,3,2,8,강원 강릉시,7
19,1168002,300893,5,4,4,4,4,4,4,932030,62500,45,3,2,8,강원 강릉시,7
20,1168402,121205,5,3,4,4,4,3,4,932030,75000,42,3,2,8,강원 강릉시,7
21,1183602,303279,5,4,5,5,5,4,5,932030,50000,43,3,2,8,강원 강릉시,7
22,1188202,118496,5,4,4,4,4,4,4,932030,62500,45,3,2,8,강원 강릉시,7
23,1260401,303200,5,5,5,5,5,5,5,932030,83125,44,3,2,8,강원 강릉시,7
24,1260402,303200,5,5,5,5,5,5,5,932030,83125,43,3,2,8,강원 강릉시,7
25,1264605,121902,5,5,5,5,5,5,5,932030,93333,30,3,2,8,강원 강릉시,7
26,1313501,120468,4,4,4,4,4,4,4,932030,75000,37,3,2,8,강원 강릉시,7
27,1509801,301475,5,4,5,5,5,5,5,932030,50000,36,3,2,8,강원 강릉시,7
28,1509802,301475,5,4,5,5,5,5,5,932030,50000,35,3,2,8,강원 강릉시,7
29,1524703,105020,5,4,4,4,4,4,5,932030,75000,32,3,2,8,강원 강릉시,7
30,1524703,900216,5,4,4,4,4,4,5,932030,75000,32,3,2,8,강원 강릉시,7
31,1000203,123587,4,3,4,3,4,3,4,932030,300000,46,4,3,12,강원 강릉시,7
32,1008602,122609,5,3,4,3,4,4,4,932030,100000,55,4,3,12,강원 강릉시,7
33,1149702,122288,4,4,5,4,3,3,4,932030,100000,47,4,3,12,강원 강릉시,7
34,1152301,101971,4,2,2,3,2,2,3,932030,215595,53,4,3,12,강원 강릉시,7
35,1152302,101971,4,2,2,3,2,2,3,932030,215595,52,4,3,12,강원 강릉시,7
36,1173201,121353,4,4,3,4,3,3,4,932030,100000,56,4,3,12,강원 강릉시,7
37,1173202,121353,4,4,3,4,3,3,4,932030,100000,55,4,3,12,강원 강릉시,7
38,1181006,118283,4,4,4,3,3,3,4,932030,100000,48,4,3,12,강원 강릉시,7
39,1183001,105215,4,3,4,4,4,4,4,932030,100000,52,4,3,12,강원 강릉시,7
40,1183702,114785,4,4,5,4,4,4,4,932030,175000,59,4,3,12,강원 강릉시,7
41,1190701,102180,4,4,5,4,4,4,4,932030,100000,55,4,3,12,강원 강릉시,7
42,1190702,102180,4,4,5,4,4,4,4,932030,100000,52,4,3,12,강원 강릉시,7
43,1200401,109511,5,3,4,4,4,4,4,932030,190000,55,4,3,12,강원 강릉시,7
44,1200402,109511,5,3,4,4,4,4,4,932030,190000,54,4,3,12,강원 강릉시,7
45,1512601,110334,5,4,4,4,4,4,4,932030,100000,48,4,3,12,강원 강릉시,7
46,1514501,122904,5,5,5,5,5,5,5,932030,166667,55,4,3,12,강원 강릉시,7
47,1514502,122904,5,5,5,5,5,5,5,932030,166667,54,4,3,12,강원 강릉시,7
48,1517301,108478,4,4,4,4,4,4,4,932030,300000,52,4,3,12,강원 강릉시,7
49,1517301,108479,4,4,4,3,4,4,4,932030,300000,52,4,3,12,강원 강릉시,7
50,1526501,123145,4,4,4,4,4,4,5,932030,100000,52,4,3,12,강원 강릉시,7
51,1538001,116341,4,3,3,4,4,3,4,932030,200000,54,4,3,12,강원 강릉시,7
52,1002201,118089,4,4,4,4,4,4,4,932030,50000,72,5,2,14,강원 강릉시,7
