,PID,M_ID,nature,traffic,food,info,facility,kind,total,loc_code,money,age,age_group,money_group,label_group,a_c,all
1043,1000303,110795,4,4,4,4,4,4,4,923040,150000,28,2,3,6,인천 연수구,9
1044,1080902,114811,4,3,4,4,4,4,3,923040,100000,21,2,3,6,인천 연수구,9
1045,1005503,102666,4,4,4,4,4,4,5,923040,25000,71,5,1,13,인천 연수구,9
1046,1005503,900106,4,4,4,4,4,4,5,923040,25000,71,5,1,13,인천 연수구,9
1047,1162801,105765,5,3,4,4,5,4,5,923040,20000,78,5,1,13,인천 연수구,9
1048,1217101,106775,4,5,4,4,4,4,5,923040,11854,75,5,1,13,인천 연수구,9
1049,1508402,118426,4,4,4,3,3,3,4,923040,25000,62,5,1,13,인천 연수구,9
1050,1028104,121426,4,3,4,3,3,4,4,923040,38000,36,3,1,7,인천 연수구,9
1051,1300901,121426,4,3,4,3,3,4,4,923040,38000,40,3,1,7,인천 연수구,9
1052,1057701,122185,4,4,4,4,3,3,4,923040,100000,41,3,3,9,인천 연수구,9
1053,1057702,122185,4,4,4,4,3,3,4,923040,100000,36,3,3,9,인천 연수구,9
1054,1149301,118672,4,4,4,5,4,4,4,923040,130000,39,3,3,9,인천 연수구,9
1055,1149302,118672,4,4,4,5,4,4,4,923040,130000,37,3,3,9,인천 연수구,9
1056,1514903,301764,4,4,4,3,2,2,4,923040,222222,37,3,3,9,인천 연수구,9
1057,1514905,301764,4,4,4,3,2,2,4,923040,222222,39,3,3,9,인천 연수구,9
1058,1535502,301788,4,3,5,4,4,5,5,923040,300000,42,3,3,9,인천 연수구,9
1059,1098404,108212,4,4,4,3,4,4,4,923040,12500,15,1,1,1,인천 연수구,9
1060,1139301,114884,4,4,5,4,4,3,5,923040,75000,24,2,2,5,인천 연수구,9
1061,1152801,120605,3,4,4,4,4,4,4,923040,112500,57,4,3,12,인천 연수구,9
1062,1152802,120605,3,4,4,4,4,4,4,923040,112500,54,4,3,12,인천 연수구,9
1063,1188201,118503,4,3,3,3,4,4,5,923040,180000,49,4,3,12,인천 연수구,9
1064,1219901,120690,3,3,4,4,3,3,3,923040,20000,85,6,1,16,인천 연수구,9
1065,1512801,119068,4,4,3,4,4,4,4,923040,50000,69,5,2,14,인천 연수구,9
1066,1512802,119068,4,4,3,4,4,4,4,923040,50000,68,5,2,14,인천 연수구,9
1067,1514902,301764,4,4,4,3,2,2,4,923040,222222,64,5,3,15,인천 연수구,9
1068,1537001,115875,5,3,4,4,4,4,5,923040,20000,47,4,1,10,인천 연수구,9
1150,1000401,110799,5,4,3,3,3,3,4,932410,37500,63,5,1,13,강원 양양군,9
1151,1000402,110799,5,4,3,3,3,3,4,932410,37500,61,5,1,13,강원 양양군,9
1152,1053901,123156,5,4,4,3,3,3,4,932410,25000,67,5,1,13,강원 양양군,9
1153,1053902,123156,5,4,4,3,3,3,4,932410,25000,67,5,1,13,강원 양양군,9
1154,1088002,103693,4,4,4,4,4,4,4,932410,40000,68,5,1,13,강원 양양군,9
1155,1138401,114293,4,3,4,3,4,4,4,932410,2500,79,5,1,13,강원 양양군,9
1156,1138402,114293,4,3,4,3,4,4,4,932410,2500,77,5,1,13,강원 양양군,9
1157,1145201,101619,4,3,4,3,3,3,4,932410,25000,60,5,1,13,강원 양양군,9
1158,1178401,107387,5,4,4,4,4,4,5,932410,40000,62,5,1,13,강원 양양군,9
1159,1178402,107387,5,4,4,4,4,4,5,932410,40000,61,5,1,13,강원 양양군,9
