,PID,q6_1,q6_1_1,,new
0,1000101,932,30,030,932030
1,1000101,931,10,010,931010
2,1000101,911,50,050,911050
3,1000102,932,30,030,932030
4,1000102,911,240,240,911240
5,1000102,931,100,100,931100
6,1000102,911,50,050,911050
7,1000102,931,260,260,931260
8,1000201,923,50,050,923050
9,1000202,923,50,050,923050
10,1000203,932,30,030,932030
11,1000303,923,40,040,923040
12,1000304,931,20,020,931020
13,1000304,933,370,370,933370
14,,,,000,000
15,1000401,932,410,410,932410
16,1000401,931,380,380,931380
17,1000402,932,410,410,932410
18,1000402,931,380,380,931380
19,1000402,938,370,370,938370
20,1000601,911,240,240,911240
21,1000601,911,240,240,911240
22,1000601,911,240,240,911240
23,1000601,911,240,240,911240
24,1000601,911,240,240,911240
25,1000602,911,240,240,911240
26,1000602,911,240,240,911240
27,1000602,911,240,240,911240
28,1000602,911,240,240,911240
29,1000602,911,240,240,911240
30,1000701,937,350,350,937350
31,1000701,932,40,040,932040
32,1000801,911,20,020,911020
33,1000901,932,60,060,932060
34,1000901,931,380,380,931380
35,,,,000,000
36,1000901,932,10,010,932010
37,1000901,932,310,310,932310
38,1000902,932,60,060,932060
39,1001001,934,370,370,934370
40,1001002,935,320,320,935320
41,1001002,932,340,340,932340
42,1001002,935,320,320,935320
43,1001002,934,370,370,934370
44,1001002,931,270,270,931270
45,,,,000,000
46,1001701,937,410,410,937410
47,1001702,931,130,130,931130
48,1001702,937,410,410,937410
49,1001702,932,60,060,932060
50,1001802,921,90,090,921090
51,1001803,932,310,310,932310
52,1001803,937,10,010,937010
53,1001803,921,90,090,921090
54,1001902,931,10,010,931010
55,1001904,921,10,010,921010
56,1001904,921,10,010,921010
57,1002201,923,310,310,923310
58,1002201,932,30,030,932030
59,1002201,932,340,340,932340
60,1002202,931,130,130,931130
61,1002202,932,30,030,932030
62,1002203,932,30,030,932030
63,1002302,931,10,010,931010
64,1002303,932,60,060,932060
65,1002303,931,370,370,931370
66,1002303,931,190,190,931190
67,1002307,932,60,060,932060
68,1002307,931,370,370,931370
69,1002307,931,190,190,931190
70,1002401,932,30,030,932030
71,1002801,931,30,030,931030
72,1002801,911,100,100,911100
73,1002802,911,100,100,911100
74,1002802,923,10,010,923010
75,1003101,931,270,270,931270
76,1003102,931,270,270,931270
77,1003103,931,270,270,931270
78,1003103,931,370,370,931370
79,1003103,932,60,060,932060
80,1003105,923,10,010,923010
81,1003105,931,270,270,931270
82,1003105,921,90,090,921090
83,1003105,921,90,090,921090
84,1003106,931,270,270,931270
85,1003106,931,370,370,931370
86,1003106,932,60,060,932060
87,1003201,938,70,070,938070
88,1003201,931,190,190,931190
89,1003201,931,270,270,931270
90,1003201,931,40,040,931040
91,1003201,932,310,310,932310
92,1003201,931,80,080,931080
93,1003201,931,380,380,931380
94,1003201,934,40,040,934040
95,1003201,931,190,190,931190
96,1003201,931,270,270,931270
97,1003201,932,60,060,932060
98,1003202,931,190,190,931190
99,1003202,931,270,270,931270
100,1003202,931,40,040,931040
101,1003202,934,40,040,934040
102,1003202,931,190,190,931190
103,1003202,931,270,270,931270
104,1003202,911,100,100,911100
105,1003301,938,70,070,938070
106,1003301,911,60,060,911060
107,1003301,911,10,010,911010
108,1003301,911,10,010,911010
109,1003301,934,30,030,934030
110,1003302,938,70,070,938070
111,1003302,911,160,160,911160
112,1003302,911,60,060,911060
113,1003302,911,10,010,911010
114,1003302,911,10,010,911010
115,1003302,911,10,010,911010
116,1003302,934,30,030,934030
117,,,,000,000
118,,,,000,000
119,1003304,911,10,010,911010
120,1003304,911,10,010,911010
121,1003304,931,200,200,931200
122,1003304,911,140,140,911140
123,1003304,911,20,020,911020
124,1003304,911,130,130,911130
125,1003304,911,10,010,911010
126,1003304,911,10,010,911010
127,1003304,911,20,020,911020
128,1003304,911,80,080,911080
129,1003304,911,10,010,911010
130,1003304,911,10,010,911010
131,1003304,911,10,010,911010
132,1003304,932,340,340,932340
133,1003304,911,20,020,911020
134,1003304,911,10,010,911010
135,1003304,931,190,190,931190
136,1003304,911,20,020,911020
137,1003304,911,20,020,911020
138,1003304,911,10,010,911010
139,1003304,911,10,010,911010
140,1003304,911,20,020,911020
141,1003304,911,30,030,911030
142,1003304,911,130,130,911130
143,1003304,932,340,340,932340
144,1003304,911,10,010,911010
145,1003501,932,70,070,932070
146,1003502,931,10,010,931010
147,1003502,932,70,070,932070
148,1003601,931,180,180,931180
149,1003602,931,180,180,931180
150,1003701,911,180,180,911180
