,PID,type2,month,M_ID,q1,q2_a_1,q5,q5_1,q5_2_1,q5_2_2,q5_2_3,q5_2_4,q5_2_5,q5_2_6,q10_1,q10_2,q10_3,q10_4,q10_5,q10_6,q10_7,q10_8,q10_9,q10_10,q10_11,q10_12,wt,q6_1,q6_1_1,q6_2,q6_6_1,q6_6_2,q6_6_3,q6_6_4,q6_6_5,q6_6_6,q6_6_7,q6_6_8,q6_6_9,q6_6_10,q6_6_11,q6_6_12,q6_6_13,q6_6_14,q6_6_15,q6_6_16,q6_6_17,q6_6_18,q6_6_19,q6_6_20,q6_6_21,q6_7,q6_8,q6_9,q7_2
0,1000101,2,7,101372,2,7,1,6,,,,,,,5,4,4,4,4,9,4,4,4,4,4,4,6201.607951,932,30,7,1,2,3,,,6,,,,,,,,,,,,,,,,4,4,4,650000
1,1000101,2,8,115439,2,8,1,5,1,,,,,,4,4,4,4,4,9,4,4,4,4,4,4,6201.607951,931,10,2,1,2,3,,,,,,,,,,,,,,,,,,,4,4,4,100000
2,1000101,2,10,115437,1,10,1,6,,,,,,,4,4,4,9,4,4,4,4,4,4,4,4,6201.607951,911,50,1,1,2,3,,5,,,,,,,,,,,,,,,,,4,4,4,60000
3,1000102,2,7,101372,2,7,1,6,,,,,,,5,4,4,4,4,9,4,4,4,4,4,4,5886.547371,932,30,7,1,2,3,,,6,,,,,,,,,,,,,,,,4,4,4,650000
4,1000102,2,8,101365,1,8,1,7,1,,,,,,4,4,4,9,4,9,4,4,4,4,3,3,5886.547371,911,240,1,1,2,,,5,,,,,,,,,,,,,,,,,4,4,4,120000
5,1000102,2,8,115434,1,8,1,5,,,,,,,4,4,4,9,4,4,4,4,4,4,4,4,5886.547371,931,100,1,1,2,3,,,,,,,,,,,,,,,,,,,4,4,4,100000
6,1000102,2,10,115437,1,10,1,6,,,,,,,4,4,4,9,4,4,4,4,4,4,4,4,5886.547371,911,50,1,1,2,3,,5,,,,,,,,,,,,,,,,,4,4,4,60000
7,1000102,2,12,115441,1,12,1,5,1,,,,,,4,4,4,9,4,9,4,4,4,4,4,4,5886.547371,931,260,1,1,2,3,,,,,,,,,,,,,,,,,,,4,4,4,100000
8,1000201,1,5,110564,1,5,1,4,,,,,,,3,3,3,9,3,3,3,3,3,3,3,3,12044.61041,923,50,1,,2,,,,,,8,,,,,,,,,,,,,,3,3,3,20000
9,1000202,1,5,110564,1,5,1,4,,,,,,,3,3,3,9,3,3,3,3,3,3,3,3,5436.667739,923,50,1,,2,,,,,,8,,,,,,,,,,,,,,3,3,3,20000
10,1000203,2,10,123587,2,10,1,2,1,,,,,,4,4,3,3,4,4,3,4,3,9,2,2,12405.20967,932,30,2,1,2,,,,,,,,,,,,,,,,,,,,4,4,4,600000
11,1000303,1,4,110795,2,4,1,2,1,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,11367.64669,923,40,2,,,,,,6,,,,,,,,,15,,,,,,,4,4,3,300000
12,1000304,1,6,301114,1,6,1,4,,,,,,,5,9,3,9,5,9,4,4,4,9,4,4,10906.66955,931,20,1,,,,,,,,,,,,,,,,,17,,,,,5,5,5,50000
13,1000304,2,8,303657,2,8,1,8,1,,,,,,5,9,5,9,5,9,5,5,5,9,5,5,10906.66955,933,370,2,,2,,,,6,,,,,,,,,,,,,,,,5,5,5,60000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1000401,1,5,110799,2,5,1,12,,,3,,,,5,4,4,3,3,3,3,3,3,9,3,3,8570.815548,932,410,2,1,,,,,6,,,,,,,,,,,,,,,,4,3,3,75000
16,1000401,1,5,110800,1,5,1,33,,,3,,,,4,3,3,9,3,3,3,3,3,9,3,3,8570.815548,931,380,1,1,,3,,,,,,,,,,,,,,,,,,,3,3,3,7500
17,1000402,1,5,110799,2,5,1,12,,,3,,,,5,4,4,3,3,3,3,3,3,9,3,3,8135.392004,932,410,2,1,,,,,6,,,,,,,,,,,,,,,,4,3,3,75000
18,1000402,1,5,110800,1,5,1,33,,,3,,,,4,3,3,9,3,3,3,3,3,9,3,3,8135.392004,931,380,1,1,,3,,,,,,,,,,,,,,,,,,,3,3,3,7500
19,1000402,2,10,123596,2,10,1,3,1,,,,,,4,4,4,4,4,4,4,4,4,9,4,4,8135.392004,938,370,2,1,,,4,,,,,,,,,,,,,,,,,,4,4,4,120000
20,1000601,2,7,123026,1,7,1,4,,,,,,,3,9,4,9,3,3,3,3,3,9,3,3,14557.32988,911,240,1,,,,,5,,,,,,,,,,,,,,,,,3,3,3,30000
21,1000601,2,8,123027,1,8,1,4,,,,,,,3,9,3,9,3,3,3,3,3,9,3,3,14557.32988,911,240,1,,,,,5,,,,,,,,,,,,,,,,,3,3,3,30000
22,1000601,2,9,123028,1,9,1,4,,,,,,,3,9,4,9,5,4,4,4,4,9,4,4,14557.32988,911,240,1,,,,,5,,,,,,,,,,,,,,,,,3,3,3,30000
23,1000601,2,10,123029,1,10,1,4,,,,,,,3,9,3,9,3,3,3,3,3,9,3,3,14557.32988,911,240,1,,,,,5,,,,,,,,,,,,,,,,,3,3,3,30000
