PID	M_ID	nature	traffic	food	info	facility	kind	total	loc_code	money	age	age_group	money_group	label_group	a_c
1000101	101372	5	4	4	4	4	4	4	932030	92857	40	3	2	8	강원 강릉시
1000102	101372	5	4	4	4	4	4	4	932030	92857	40	3	2	8	강원 강릉시
1000203	123587	4	3	4	3	4	3	4	932030	300000	46	4	3	12	강원 강릉시
1002201	118089	4	4	4	4	4	4	4	932030	50000	72	5	2	14	강원 강릉시
1002202	118089	4	4	4	4	4	4	4	932030	50000	69	5	2	14	강원 강릉시
1002203	118089	4	4	4	4	4	4	4	932030	50000	43	3	2	8	강원 강릉시
1002401	122893	3	3	3	3	3	3	4	932030	33333	76	5	1	13	강원 강릉시
1004503	108397	4	4	3	4	3	3	4	932030	83333	22	2	2	5	강원 강릉시
1005104	106353	4	4	4	4	4	4	4	932030	66667	37	3	2	8	강원 강릉시
1005104	122743	4	4	4	4	4	4	4	932030	50000	37	3	2	8	강원 강릉시
1005302	102715	4	4	4	4	4	4	4	932030	29000	70	5	1	13	강원 강릉시
1006204	123727	4	4	4	4	4	4	4	932030	40000	24	2	1	4	강원 강릉시
1008101	123639	4	4	4	4	4	4	3	932030	37500	78	5	1	13	강원 강릉시
1008102	123639	4	4	4	4	4	4	3	932030	37500	76	5	1	13	강원 강릉시
1008302	123635	4	4	4	4	4	4	4	932030	500000	38	3	3	9	강원 강릉시
1008602	122609	5	3	4	3	4	4	4	932030	100000	55	4	3	12	강원 강릉시
1010201	106465	5	3	4	3	3	4	4	932030	50000	46	4	2	11	강원 강릉시
1010202	106465	5	3	4	3	3	4	4	932030	50000	42	3	2	8	강원 강릉시
1011103	102063	4	4	4	4	4	4	4	932030	160000	35	3	3	9	강원 강릉시
1011103	900077	4	4	4	4	4	4	4	932030	160000	35	3	3	9	강원 강릉시
1012401	103066	5	3	4	4	4	3	4	932030	33334	51	4	1	10	강원 강릉시
1012402	103066	5	3	4	4	4	3	4	932030	33334	21	2	1	4	강원 강릉시
1012403	103066	5	3	4	4	4	3	4	932030	33334	18	1	1	1	강원 강릉시
1013201	109794	5	4	4	4	3	3	5	932030	31250	53	4	1	10	강원 강릉시
1013202	109794	5	4	4	4	3	3	5	932030	31250	52	4	1	10	강원 강릉시
1013203	109794	5	4	4	4	3	3	5	932030	31250	27	2	1	4	강원 강릉시
1013204	109794	5	4	4	4	3	3	5	932030	31250	24	2	1	4	강원 강릉시
1014204	123766	5	4	4	4	4	4	4	932030	50000	26	2	2	5	강원 강릉시
1014301	120288	4	3	4	4	3	3	4	932030	300000	65	5	3	15	강원 강릉시
1014302	120288	4	3	4	4	3	3	4	932030	300000	65	5	3	15	강원 강릉시
1015103	118024	5	4	4	4	3	3	4	932030	100000	35	3	3	9	강원 강릉시
1016501	117151	4	4	4	4	4	4	4	932030	85000	45	3	2	8	강원 강릉시
1016502	117151	4	4	4	4	4	4	4	932030	85000	42	3	2	8	강원 강릉시
1019204	118829	4	4	4	4	4	4	4	932030	110000	17	1	3	3	강원 강릉시
1019704	104021	4	4	4	4	4	4	4	932030	140000	25	2	3	6	강원 강릉시
1021103	115443	4	4	4	4	4	4	4	932030	200000	31	3	3	9	강원 강릉시
1021201	115451	5	4	4	4	4	4	4	932030	200000	69	5	3	15	강원 강릉시
1021501	117485	4	4	4	4	4	4	4	932030	50000	76	5	2	14	강원 강릉시
1021502	117485	4	4	4	4	4	4	4	932030	50000	74	5	2	14	강원 강릉시
1021503	117485	4	4	4	4	4	4	4	932030	50000	47	4	2	11	강원 강릉시
1024103	118438	4	4	4	4	4	4	4	932030	87500	16	1	2	2	강원 강릉시
1026401	118750	4	4	4	4	4	4	4	932030	66667	42	3	2	8	강원 강릉시
1026402	118750	4	4	4	4	4	4	4	932030	66667	45	3	2	8	강원 강릉시
1028104	301466	4	3	4	4	3	3	4	932030	26563	36	3	1	7	강원 강릉시
1031701	116059	4	5	4	4	5	5	4	932030	55556	57	4	2	11	강원 강릉시
1031702	116059	4	5	4	4	5	5	4	932030	55556	35	3	2	8	강원 강릉시
1031703	116059	4	5	4	4	5	5	4	932030	55556	33	3	2	8	강원 강릉시
1033703	118133	4	5	4	4	5	5	4	932030	150000	21	2	3	6	강원 강릉시
1034301	119622	4	4	4	3	4	4	4	932030	68125	42	3	2	8	강원 강릉시
1034302	119622	4	4	4	3	4	4	4	932030	68125	39	3	2	8	강원 강릉시
1034901	107706	4	5	4	4	4	5	4	932030	100000	42	3	3	9	강원 강릉시
1034902	107706	4	5	4	4	4	5	4	932030	100000	43	3	3	9	강원 강릉시
1036601	101859	4	4	4	3	3	4	4	932030	50000	70	5	2	14	강원 강릉시
1036901	119749	4	4	4	4	4	4	4	932030	66667	39	3	2	8	강원 강릉시
1038801	104079	3	5	4	3	4	4	4	932030	10000	86	6	1	16	강원 강릉시
1038801	120329	4	4	5	3	4	4	4	932030	100000	86	6	3	18	강원 강릉시
1041704	120377	4	3	4	3	4	4	4	932030	100000	15	1	3	3	강원 강릉시
1041801	110266	5	5	5	5	5	5	5	932030	59375	49	4	2	11	강원 강릉시
1041802	110266	5	5	5	5	5	5	5	932030	59375	49	4	2	11	강원 강릉시
1041803	110266	5	5	5	5	5	5	5	932030	59375	17	1	2	2	강원 강릉시
1041804	110266	5	5	5	5	5	5	5	932030	59375	15	1	2	2	강원 강릉시
1042201	101876	4	4	4	4	3	3	4	932030	30000	76	5	1	13	강원 강릉시
1043601	107641	4	5	4	5	5	4	4	932030	100000	74	5	3	15	강원 강릉시
1043602	107641	4	5	4	5	5	4	4	932030	100000	65	5	3	15	강원 강릉시
1044801	120822	4	5	4	5	5	4	4	932030	55556	44	3	2	8	강원 강릉시
1044802	120822	4	5	4	5	5	4	4	932030	55556	43	3	2	8	강원 강릉시
1044803	120822	4	5	4	5	5	4	4	932030	55556	16	1	2	2	강원 강릉시
1048001	123287	5	4	4	4	4	4	5	932030	125000	75	5	3	15	강원 강릉시
1048002	123287	5	4	4	4	4	4	5	932030	125000	71	5	3	15	강원 강릉시
1049701	101096	4	4	4	5	4	4	5	932030	19375	56	4	1	10	강원 강릉시
1049702	101096	4	4	4	5	4	4	5	932030	19375	55	4	1	10	강원 강릉시
1049704	101096	4	4	4	5	4	4	5	932030	19375	24	2	1	4	강원 강릉시
1049705	101096	4	4	4	5	4	4	5	932030	19375	22	2	1	4	강원 강릉시
1051005	120468	4	4	4	4	4	4	4	932030	75000	40	3	2	8	강원 강릉시
1058603	121119	5	5	4	5	4	4	5	932030	133333	28	2	3	6	강원 강릉시
1071801	103005	5	4	4	4	4	3	4	932030	82500	59	4	2	11	강원 강릉시
1071802	103005	5	4	4	4	4	3	4	932030	82500	58	4	2	11	강원 강릉시
1077701	100394	4	3	4	3	3	3	4	932030	500000	77	5	3	15	강원 강릉시
1077701	900020	4	3	4	3	3	3	4	932030	500000	77	5	3	15	강원 강릉시
1085003	112923	4	4	4	4	4	4	4	932030	33333	20	2	1	4	강원 강릉시
1086202	103183	4	4	4	4	4	4	4	932030	20000	64	5	1	13	강원 강릉시
1092502	120016	4	4	4	4	4	4	4	932030	50000	46	4	2	11	강원 강릉시
1093203	122726	5	4	4	4	4	4	4	932030	60000	29	2	2	5	강원 강릉시
1097102	119211	4	4	4	3	4	3	4	932030	150000	71	5	3	15	강원 강릉시
1098702	108228	4	4	4	3	4	4	4	932030	100000	44	3	3	9	강원 강릉시
1104105	117846	4	5	4	4	4	4	4	932030	121250	25	2	3	6	강원 강릉시
1106101	110433	4	4	5	4	4	4	4	932030	35000	70	5	1	13	강원 강릉시
1106102	110433	4	4	5	4	4	4	4	932030	35000	70	5	1	13	강원 강릉시
1106201	110427	4	4	5	4	4	4	4	932030	25000	84	6	1	16	강원 강릉시
1106202	110427	4	4	5	4	4	4	4	932030	25000	82	6	1	16	강원 강릉시
1106701	110429	4	4	4	3	4	4	4	932030	40000	73	5	1	13	강원 강릉시
1119101	116205	4	4	4	4	4	4	4	932030	125000	70	5	3	15	강원 강릉시
