,PID,price,age,age_group,price_group
0,1000101,92857,40.0,3.0,2.0
1,1000101,50000,40.0,3.0,2.0
2,1000101,60000,40.0,3.0,2.0
3,1000102,92857,40.0,3.0,2.0
4,1000102,120000,40.0,3.0,3.0
5,1000102,100000,40.0,3.0,3.0
6,1000102,60000,40.0,3.0,2.0
7,1000102,100000,40.0,3.0,3.0
8,1000201,20000,41.0,3.0,1.0
9,1000202,20000,73.0,5.0,1.0
10,1000203,300000,46.0,4.0,3.0
11,1000303,150000,28.0,2.0,3.0
12,1000304,50000,38.0,3.0,2.0
13,1000304,30000,38.0,3.0,1.0
14,1000401,685000,63.0,5.0,3.0
15,1000401,37500,63.0,5.0,1.0
16,1000401,7500,63.0,5.0,1.0
17,1000402,37500,61.0,5.0,1.0
18,1000402,7500,61.0,5.0,1.0
19,1000402,60000,61.0,5.0,2.0
20,1000601,30000,37.0,3.0,1.0
21,1000601,30000,37.0,3.0,1.0
22,1000601,30000,37.0,3.0,1.0
23,1000601,30000,37.0,3.0,1.0
24,1000601,30000,37.0,3.0,1.0
25,1000602,30000,38.0,3.0,1.0
26,1000602,30000,38.0,3.0,1.0
27,1000602,30000,38.0,3.0,1.0
28,1000602,30000,38.0,3.0,1.0
29,1000602,30000,38.0,3.0,1.0
30,1000701,23333,56.0,4.0,1.0
31,1000701,40000,56.0,4.0,1.0
32,1000801,25000,48.0,4.0,1.0
33,1000901,87500,39.0,3.0,2.0
34,1000901,20000,39.0,3.0,1.0
35,1000901,150000,39.0,3.0,3.0
36,1000901,150000,39.0,3.0,3.0
37,1000901,116667,39.0,3.0,3.0
38,1000902,87500,47.0,4.0,2.0
39,1001001,75000,41.0,3.0,2.0
40,1001002,40000,75.0,5.0,1.0
41,1001002,50000,75.0,5.0,2.0
42,1001002,23333,75.0,5.0,1.0
43,1001002,75000,75.0,5.0,2.0
44,1001002,50000,75.0,5.0,2.0
45,1001301,5000,83.0,6.0,1.0
46,1001701,50000,68.0,5.0,2.0
47,1001702,100000,67.0,5.0,3.0
48,1001702,50000,67.0,5.0,2.0
49,1001702,50000,67.0,5.0,2.0
50,1001802,105000,65.0,5.0,3.0
51,1001803,125000,34.0,3.0,3.0
52,1001803,225000,34.0,3.0,3.0
53,1001803,105000,34.0,3.0,3.0
54,1001902,600000,47.0,4.0,3.0
55,1001904,100000,23.0,2.0,3.0
56,1001904,100000,23.0,2.0,3.0
