HID, ,sex,age,sr_type,sido,ara_size,school1,school2,occ0,occ1,occ2,fac,marry,inc1_1,inc2_1,wt
10001,1000101,1,40,2,1,1,5,5,,2,8,4,2,4000,333,6201.6079506628800000
10001,1000102,2,40,2,1,1,4,1,,11,9,4,2,4000,333,5886.5473711624800000
10002,1000201,1,41,1,1,1,6,1,,4,3,3,1,4000,333,12044.6104084556000000
10002,1000202,2,73,1,1,1,2,1,,11,9,3,3,4000,333,5436.6677389321600000
10002,1000203,2,46,1,1,1,4,1,,9,5,3,2,4000,333,12405.2096703666000000
10003,1000301,2,83,1,1,1,1,1,,16,14,3,3,2500,208,4798.9520510590600000
10003,1000303,2,28,1,1,1,4,1,,16,14,3,1,2500,208,11367.6466894348000000
10004,1000401,1,63,1,1,1,3,1,,5,2,2,2,3000,250,8570.8155484935500000
10004,1000402,2,61,1,1,1,3,1,,11,9,2,2,3000,250,8135.3920043124300000
10006,1000601,1,37,2,1,1,7,1,,3,6,3,2,8000,667,14557.3298847310000000
10006,1000602,2,38,2,1,1,6,1,,11,9,3,2,8000,667,13817.7731720285000000
10007,1000701,2,56,2,1,1,4,1,,11,9,4,2,4800,400,4648.6693170833200000
10007,1000702,1,57,2,1,1,3,1,,16,14,4,2,4800,400,4897.4760210132000000
10007,1000703,1,27,2,1,1,5,2,,14,12,4,1,4800,400,6589.3524154987800000
10007,1000704,1,27,2,1,1,6,1,,14,12,4,1,4800,400,6589.3524154987800000
10008,1000801,1,48,1,1,1,5,5,,5,2,1,1,1000,83,39216.0228526645000000
10009,1000901,1,39,2,1,1,6,5,,3,6,3,2,6000,500,11959.2742430346000000
10009,1000902,2,47,2,1,1,7,1,,5,2,3,2,6000,500,14346.8328107377000000
10010,1001001,2,41,1,1,1,4,1,,3,6,2,1,2500,208,10326.7581580758000000
10010,1001002,2,75,1,1,1,2,1,,16,14,2,3,2500,208,4748.0454533292100000
10011,1001101,1,77,1,1,1,3,1,,16,14,2,2,1000,83,3473.8304653094200000
10013,1001301,2,83,1,1,1,2,1,,16,14,3,3,2800,233,5114.8490385646200000
10013,1001303,1,59,1,1,1,5,1,,16,14,3,4,2800,233,9487.0289137521100000
10017,1001701,1,68,1,1,1,8,1,,16,14,2,2,6000,500,4279.0899960700100000
10017,1001702,2,67,1,1,1,6,1,,11,9,2,2,6000,500,4061.6991863603900000
