PID,price
1000101,92857
1000101,50000
1000101,60000
1000102,92857
1000102,120000
1000102,100000
1000102,60000
1000102,100000
1000201,20000
1000202,20000
1000203,300000
1000303,150000
1000304,50000
1000304,30000
1000401,685000
1000401,37500
1000401,7500
1000402,37500
1000402,7500
1000402,60000
1000601,30000
1000601,30000
1000601,30000
1000601,30000
1000601,30000
1000602,30000
1000602,30000
1000602,30000
1000602,30000
1000602,30000
1000701,23333
1000701,40000
1000801,25000
1000901,87500
1000901,20000
1000901,150000
1000901,150000
1000901,116667
1000902,87500
1001001,75000
1001002,40000
1001002,50000
1001002,23333
1001002,75000
1001002,50000
1001301,5000
1001701,50000
1001702,100000
1001702,50000
1001702,50000
1001802,105000
1001803,125000
1001803,225000
1001803,105000
1001902,600000
1001904,100000
1001904,100000
1002201,30000
1002201,50000
1002201,35000
1002202,126667
1002202,50000
1002203,50000
1002302,50000
1002303,66667
1002303,50000
1002303,50000
1002307,66667
1002307,50000
1002307,50000
1002401,33333
1002801,50000
1002801,30000
1002802,30000
1002802,0
1003101,72000
1003102,72000
1003103,72000
1003103,75000
1003103,75000
1003105,33333
1003105,72000
1003105,50000
1003105,50000
1003106,72000
1003106,75000
1003106,75000
1003201,50000
1003201,16667
1003201,8333
1003201,25000
1003201,20000
1003201,50000
1003201,20000
1003201,16667
1003201,25000
1003201,25000
1003201,20000
1003202,16667
1003202,8333
1003202,25000
1003202,16667
1003202,25000
1003202,25000
1003202,7000
1003301,75000
1003301,2300
1003301,25000
1003301,25000
1003301,2500
1003302,75000
1003302,120000
1003302,2300
1003302,26250
1003302,25000
1003302,25000
1003302,2500
1003304,97500
1003304,50000
1003304,25000
1003304,20000
1003304,80000
1003304,26000
1003304,27000
1003304,44500
1003304,16700
1003304,13500
1003304,20600
1003304,16900
1003304,27500
1003304,3000
1003304,17500
1003304,116667
1003304,29000
1003304,27000
1003304,75000
1003304,91000
1003304,19500
1003304,4500
1003304,8400
1003304,15000
1003304,40000
1003304,25450
1003304,96750
1003304,39000
1003501,121667
1003502,250000
1003502,121667
1003601,75000
1003602,75000
1003701,50000
1003702,150000
1003901,85000
1003901,65000
1003901,80000
1003901,60000
1003901,60000
1003901,70000
1003901,75000
1003901,50000
1003902,135000
1003902,85000
1003902,65000
1003902,80000
1003902,60000
1003902,60000
1003902,70000
1003902,70000
1003902,75000
1003902,50000
1004101,200000
1004101,50000
1004101,75000
1004101,65000
1004101,125000
1004101,50000
1004101,50000
1004101,150000
1004102,200000
1004102,50000
1004102,75000
1004102,65000
1004102,125000
1004102,50000
1004102,50000
1004102,150000
1004202,0
1004202,10000
1004503,83333
1004503,75000
1004503,25000
1004601,70000
1004601,60000
1004601,70000
1004601,60000
1004602,48333
1004602,62333
1004603,48333
1004701,33333
1004701,40000
1004701,16667
1004702,33333
1004702,40000
1004702,16667
1004901,50000
1004901,25000
1004901,50000
1004902,50000
1004902,25000
1004902,50000
1005101,70000
1005101,37500
1005102,200000
1005102,37500
1005102,15000
1005103,50000
1005104,66667
1005104,50000
1005105,50000
1005201,2500
1005202,2500
1005301,55000
1005301,25000
1005301,15000
1005302,29000
1005302,55000
1005302,30000
1005302,20000
1005302,15000
1005302,10000
1005501,40000
1005502,40000
1005503,25000
1005503,25000
1005503,83333
1005503,30000
1005602,71667
1005603,150000
