PID,M_ID,nature,culture,traffic,accom,food,shopping,info,facility,kind,program,price,cong,total
1000101,101372,5,4,4,4,4,4,4,4,4,4,4,4,4
1000101,115439,4,4,4,4,4,4,4,4,4,4,4,4,4
1000101,115437,4,4,4,4,4,4,4,4,4,4,4,4,4
1000102,101372,5,4,4,4,4,4,4,4,4,4,4,4,4
1000102,101365,4,4,4,4,4,4,4,4,4,4,3,3,4
1000102,115434,4,4,4,4,4,4,4,4,4,4,4,4,4
1000102,115437,4,4,4,4,4,4,4,4,4,4,4,4,4
1000102,115441,4,4,4,4,4,4,4,4,4,4,4,4,4
1000201,110564,3,3,3,3,3,3,3,3,3,3,3,3,3
1000202,110564,3,3,3,3,3,3,3,3,3,3,3,3,3
1000203,123587,4,4,3,3,4,4,3,4,3,4,2,2,4
1000303,110795,4,4,4,4,4,4,4,4,4,4,4,4,4
1000304,301114,5,5,3,5,5,5,4,4,4,5,4,4,5
1000304,303657,5,5,5,5,5,5,5,5,5,5,5,5,5
1000401,110799,5,4,4,3,3,3,3,3,3,4,3,3,4
1000401,110800,4,3,3,3,3,3,3,3,3,3,3,3,3
1000402,110799,5,4,4,3,3,3,3,3,3,4,3,3,4
1000402,110800,4,3,3,3,3,3,3,3,3,3,3,3,3
1000402,123596,4,4,4,4,4,4,4,4,4,4,4,4,4
1000601,123026,3,3,4,3,3,3,3,3,3,3,3,3,3
1000601,123027,3,3,3,3,3,3,3,3,3,3,3,3,3
1000601,123028,3,3,4,3,5,4,4,4,4,3,4,4,3
1000601,123029,3,3,3,3,3,3,3,3,3,3,3,3,3
1000601,123030,3,3,3,3,3,3,3,3,3,3,3,3,3
1000602,123026,3,3,4,3,3,3,3,3,3,3,3,3,3
1000602,123027,3,3,3,3,3,3,3,3,3,3,3,3,3
1000602,123028,3,3,4,3,5,4,4,4,4,3,4,4,3
1000602,123029,3,3,3,3,3,3,3,3,3,3,3,3,3
1000602,123030,3,3,3,3,3,3,3,3,3,3,3,3,3
1000701,121445,4,4,4,4,4,3,3,4,4,3,4,4,4
1000701,121451,4,4,4,5,4,3,3,4,4,3,4,4,4
1000801,110393,4,4,4,4,4,4,4,4,4,4,4,4,4
1000901,110802,3,3,3,4,3,3,3,3,3,3,3,3,3
1000901,123598,4,4,4,4,4,4,4,4,4,3,4,4,3
1000901,123604,4,4,4,4,4,4,4,4,4,4,4,4,4
1000901,123602,4,4,4,4,4,4,4,4,4,4,4,4,4
1000902,110802,3,3,3,4,3,3,3,3,3,3,3,3,3
1001001,122603,4,4,4,4,4,4,4,4,4,4,4,4,4
1001002,108971,4,4,4,4,4,4,4,4,4,4,4,4,4
1001002,108977,4,4,4,4,4,4,4,4,4,4,4,4,4
1001002,122691,4,4,4,4,4,4,4,4,4,4,4,4,4
1001002,122603,4,4,4,4,4,4,4,4,4,4,4,4,4
1001002,122692,4,4,4,4,4,4,4,4,4,4,4,4,4
1001701,122627,4,4,4,4,4,4,4,4,4,4,4,4,4
1001702,109138,4,4,4,4,4,4,4,4,4,4,4,4,4
1001702,122627,4,4,4,4,4,4,4,4,4,4,4,4,4
1001702,122631,4,4,4,4,4,4,4,4,4,4,4,4,4
1001802,121728,5,5,4,4,4,4,4,4,4,4,4,4,4
1001803,109002,4,4,4,4,4,4,4,4,4,4,4,4,4
1001803,121735,5,5,4,4,4,4,4,4,4,4,4,4,4
1001803,121728,5,5,4,4,4,4,4,4,4,4,4,4,4
1001902,104009,5,5,5,5,5,4,5,5,5,5,5,5,4
1001904,104010,4,4,4,4,4,4,4,4,4,4,4,4,4
1001904,900163,4,4,4,4,4,4,4,4,4,4,4,4,4
1002201,109014,4,4,4,4,4,4,4,4,4,4,4,4,4
1002201,118089,4,4,4,4,4,4,4,4,4,4,4,4,4
1002201,118102,4,4,4,4,4,4,4,4,4,4,4,4,4
1002202,109023,5,5,5,5,5,5,5,5,5,5,5,5,4
1002202,118089,4,4,4,4,4,4,4,4,4,4,4,4,4
1002203,118089,4,4,4,4,4,4,4,4,4,4,4,4,4
1002302,123176,5,4,4,4,5,4,4,4,4,4,4,4,4
1002303,109055,4,4,4,4,4,4,4,4,4,4,4,4,4
1002303,109064,4,4,4,4,4,4,4,4,4,4,4,4,4
1002303,119525,4,4,4,4,4,4,4,4,4,4,4,4,4
1002307,109055,4,4,4,4,4,4,4,4,4,4,4,4,4
1002307,109064,4,4,4,4,4,4,4,4,4,4,4,4,4
1002307,119525,4,4,4,4,4,4,4,4,4,4,4,4,4
1002401,122893,3,3,3,3,3,3,3,3,3,3,3,3,4
1002801,110656,4,4,5,4,4,4,4,4,4,4,4,4,4
1002801,110654,4,4,4,4,4,4,4,4,4,4,4,4,4
1002802,110654,4,4,4,4,4,4,4,4,4,4,4,4,4
1002802,110655,4,5,4,5,5,5,4,4,4,5,4,4,5
1003101,110663,5,5,4,4,4,5,4,4,4,5,4,4,5
1003102,110663,5,5,4,4,4,5,4,4,4,5,4,4,5
1003103,110663,5,5,4,4,4,5,4,4,4,5,4,4,5
1003103,123219,4,5,5,4,4,5,4,4,4,5,3,4,5
1003103,123221,5,4,4,4,4,4,4,4,4,4,3,3,4
1003105,110668,4,5,4,4,4,4,4,4,4,5,4,4,5
1003105,110663,5,5,4,4,4,5,4,4,4,5,4,4,5
1003105,123234,5,5,5,4,4,5,5,5,5,3,4,4,5
1003105,123235,4,4,5,4,4,4,5,5,5,4,3,3,4
1003106,110663,5,5,4,4,4,5,4,4,4,5,4,4,5
1003106,123219,4,5,5,4,4,5,4,4,4,5,3,4,5
1003106,123221,5,4,4,4,4,4,4,4,4,4,3,3,4
1003201,110361,5,5,3,5,3,4,4,4,4,5,3,4,5
1003201,110356,5,5,5,5,4,5,4,4,4,5,3,4,5
1003201,110358,5,5,4,4,4,4,4,4,4,4,3,4,5
1003201,123244,4,4,5,4,5,4,4,4,4,4,4,4,4
1003201,123250,5,4,4,4,4,4,4,4,4,4,4,4,4
1003201,110362,4,5,3,5,3,5,4,4,4,4,3,4,5
1003201,123251,5,4,4,4,4,4,4,4,4,4,4,4,4
1003201,123246,4,4,4,4,4,4,4,4,4,4,3,4,4
1003201,123248,4,5,4,5,4,4,4,4,5,4,4,4,5
1003201,123249,5,4,4,4,4,4,4,4,4,4,3,4,4
1003201,123253,5,4,4,4,4,4,4,4,4,4,4,4,4
1003202,110356,5,5,5,5,4,5,4,4,4,5,3,4,5
1003202,110358,5,5,4,4,4,4,4,4,4,4,3,4,5
1003202,123244,4,4,5,4,5,4,4,4,4,4,4,4,4
1003202,123246,4,4,4,4,4,4,4,4,4,4,3,4,4
1003202,123248,4,5,4,5,4,4,4,4,5,4,4,4,5
1003202,123249,5,4,4,4,4,4,4,4,4,4,3,4,4
1003202,123255,3,3,3,4,3,3,3,3,3,3,3,3,4
1003301,110262,4,5,4,5,5,5,5,5,5,5,4,4,5
1003301,122906,5,3,5,3,4,3,5,5,5,3,5,3,3
1003301,122911,4,4,4,4,4,4,4,4,4,4,4,4,4
1003301,122912,5,5,5,5,5,5,5,5,5,5,5,5,5
1003301,122917,4,5,4,4,4,5,4,4,4,5,4,4,5
1003302,110262,4,5,4,5,5,5,5,5,5,5,4,4,5
1003302,110264,3,3,4,3,3,3,3,3,3,3,3,3,3
1003302,122906,5,3,5,3,4,3,5,5,5,3,5,3,3
1003302,110265,5,5,5,5,5,5,5,5,5,5,5,5,5
1003302,122911,4,4,4,4,4,4,4,4,4,4,4,4,4
1003302,122912,5,5,5,5,5,5,5,5,5,5,5,5,5
1003302,122917,4,5,4,4,4,5,4,4,4,5,4,4,5
1003304,300694,5,5,5,4,4,5,5,5,5,5,5,5,4
1003304,300695,4,4,4,5,4,4,5,5,5,5,5,5,5
1003304,300696,5,4,5,5,4,5,5,5,5,5,5,5,5
1003304,300697,5,5,4,5,4,3,5,5,5,3,5,3,5
1003304,300699,5,5,5,5,4,5,5,5,5,2,5,5,5
1003304,300868,3,3,5,5,5,5,4,4,4,5,4,5,5
1003304,300869,3,3,3,3,3,3,4,4,1,4,1,1,3
1003304,300871,5,5,4,5,5,5,4,5,5,4,4,4,5
1003304,301129,5,5,4,5,5,5,4,4,4,5,3,4,5
1003304,301936,5,4,5,4,5,5,4,5,4,4,3,4,4
1003304,301937,5,5,5,5,4,5,5,5,5,5,5,5,5
1003304,301938,5,5,5,5,5,5,5,5,5,5,5,5,5
1003304,301939,5,5,5,5,3,3,5,5,5,5,4,5,5
1003304,301942,5,5,5,5,3,4,4,4,4,5,4,4,5
1003304,301943,3,3,3,3,4,3,2,1,3,3,1,3,3
1003304,302795,4,5,5,5,4,5,5,5,5,5,5,5,5
1003304,302797,5,5,5,5,4,5,4,4,5,5,2,3,5
1003304,302805,4,4,3,4,5,4,4,5,4,4,4,4,4
1003304,302806,5,5,3,5,3,4,5,5,5,5,5,5,5
1003304,303139,5,5,2,4,5,5,5,5,5,5,4,2,4
1003304,303141,5,5,5,5,5,5,5,5,5,5,4,5,5
1003304,303142,5,5,5,5,5,5,5,5,5,5,5,3,5
1003304,303146,4,5,5,5,4,3,4,3,4,5,3,1,5
1003304,303149,5,5,5,5,5,5,4,5,5,5,5,5,5
1003304,303387,5,5,5,5,4,5,5,5,5,5,3,4,5
1003304,303391,4,4,5,4,4,3,4,4,4,4,3,4,4
1003501,122815,5,5,5,5,5,5,5,5,5,5,2,3,5
1003502,110236,5,5,5,5,4,5,5,5,5,5,3,4,5
1003502,122815,5,5,5,5,5,5,5,5,5,5,2,3,5
1003601,109327,3,4,4,4,4,4,4,5,5,4,4,4,4
1003602,109327,3,4,4,4,4,4,4,5,5,4,4,4,4
1003701,301203,3,3,3,4,4,3,3,3,3,3,3,3,4
1003702,301198,3,3,4,1,5,3,3,4,4,2,3,3,1
1003901,110237,5,5,4,5,5,4,4,4,4,4,4,4,5
1003901,110245,4,5,4,5,4,4,4,4,4,5,4,4,5
1003901,122958,5,5,5,5,4,5,5,5,5,5,5,5,5
1003901,122961,5,4,4,4,4,4,4,4,4,4,4,4,4
1003901,122962,4,4,4,5,4,4,4,4,4,4,4,4,5
1003901,122964,4,5,4,5,4,4,4,4,4,5,4,4,5
1003901,122966,5,5,4,5,5,5,4,4,4,5,4,4,5
1003901,122967,5,4,5,4,5,5,4,4,4,4,4,4,4
1003902,110237,5,5,4,5,5,4,4,4,4,4,4,4,5
1003902,110245,4,5,4,5,4,4,4,4,4,5,4,4,5
1003902,122958,5,5,5,5,4,5,5,5,5,5,5,5,5
1003902,122961,5,4,4,4,4,4,4,4,4,4,4,4,4
1003902,122962,4,4,4,5,4,4,4,4,4,4,4,4,5
1003902,122964,4,5,4,5,4,4,4,4,4,5,4,4,5
1003902,122971,5,5,5,5,5,5,5,5,5,5,5,5,5
1003902,122966,5,5,4,5,5,5,4,4,4,5,4,4,5
1003902,122967,5,4,5,4,5,5,4,4,4,4,4,4,4
1004101,109493,4,4,4,4,4,4,4,4,4,4,4,4,4
1004101,109494,3,3,3,3,4,3,3,3,4,3,4,4,3
1004101,109496,3,3,4,4,3,3,3,4,4,3,3,4,3
1004101,109502,4,4,4,4,4,4,3,4,5,4,3,4,4
1004101,120877,4,4,4,4,4,4,3,3,4,4,3,4,4
1004101,120878,4,4,4,4,4,4,3,3,4,4,3,4,4
1004101,120879,4,4,5,4,4,4,4,3,5,4,4,4,4
1004101,120882,4,4,4,4,4,4,2,2,4,4,3,3,4
1004102,109493,4,4,4,4,4,4,4,4,4,4,4,4,4
1004102,109494,3,3,3,3,4,3,3,3,4,3,4,4,3
1004102,109496,3,3,4,4,3,3,3,4,4,3,3,4,3
1004102,109502,4,4,4,4,4,4,3,4,5,4,3,4,4
1004102,120877,4,4,4,4,4,4,3,3,4,4,3,4,4
1004102,120878,4,4,4,4,4,4,3,3,4,4,3,4,4
1004102,120879,4,4,5,4,4,4,4,3,5,4,4,4,4
1004102,120882,4,4,4,4,4,4,2,2,4,4,3,3,4
1004202,102681,4,3,4,4,4,4,3,4,4,4,3,3,4
1004202,119516,4,4,4,4,4,4,4,4,4,4,4,4,4
1004503,108397,4,4,4,4,3,4,4,3,3,3,4,4,4
1004503,108400,4,5,3,3,4,5,4,3,4,3,4,4,4
1004503,122959,4,4,4,4,3,3,4,4,3,3,4,4,4
1004601,102709,4,4,4,4,4,4,4,4,4,4,3,4,4
1004601,102710,4,4,4,4,4,4,3,4,4,4,3,3,4
1004601,900108,4,4,4,4,4,4,4,4,4,4,3,4,4
1004601,900109,4,4,4,4,4,4,3,4,4,4,3,3,4
1004602,102708,4,3,4,4,3,4,3,4,3,4,3,4,4
1004602,119855,4,4,4,4,4,3,3,4,4,4,4,4,4
1004603,102708,4,3,4,4,3,4,3,4,3,4,3,4,4
1004701,105799,5,5,4,4,4,4,4,4,3,4,4,4,4
1004701,105800,4,4,4,4,4,4,4,4,4,4,4,4,4
1004701,119814,4,4,4,4,4,4,4,4,4,4,4,4,4
1004702,105799,5,5,4,4,4,4,4,4,3,4,4,4,4
1004702,105800,4,4,4,4,4,4,4,4,4,4,4,4,4
1004702,119814,4,4,4,4,4,4,4,4,4,4,4,4,4
1004901,122509,5,5,5,4,4,3,4,4,3,3,4,4,4
1004901,122511,4,4,4,4,4,4,4,4,4,4,4,4,4
1004901,122513,4,4,4,4,3,3,3,4,4,3,4,4,4
1004902,122509,5,5,5,4,4,3,4,4,3,3,4,4,4
1004902,122511,4,4,4,4,4,4,4,4,4,4,4,4,4
1004902,122513,4,4,4,4,3,3,3,4,4,3,4,4,4
1005101,106351,4,4,4,4,4,4,4,4,4,4,4,4,4
1005101,122738,4,4,4,4,4,4,4,4,4,4,4,4,4
1005102,106350,4,4,4,4,4,4,4,4,4,4,4,4,4
1005102,122738,4,4,4,4,4,4,4,4,4,4,4,4,4
1005102,122742,4,4,4,4,4,4,4,4,4,4,4,4,4
1005103,106348,4,4,4,4,4,4,4,4,4,4,4,4,4
1005104,106353,4,4,4,4,4,4,4,4,4,4,4,4,4
1005104,122743,4,4,4,4,4,4,4,4,4,4,4,4,4
1005105,106348,4,4,4,4,4,4,4,4,4,4,4,4,4
1005201,119811,4,4,3,3,3,4,3,3,4,4,4,3,4
1005202,119811,4,4,3,3,3,4,3,3,4,4,4,3,4
1005301,102656,4,4,4,4,4,4,4,4,4,4,4,4,4
1005301,119859,3,4,4,4,4,3,4,4,3,4,3,3,4
1005301,119861,4,4,4,5,4,3,4,4,3,4,3,3,5
1005302,102715,4,4,4,4,4,4,4,4,4,4,4,4,4
1005302,102656,4,4,4,4,4,4,4,4,4,4,4,4,4
1005302,119863,4,4,4,4,3,4,4,3,4,4,3,3,4
1005302,119877,4,4,4,4,4,4,4,4,4,4,4,4,4
1005302,119878,4,4,4,4,4,4,4,4,4,4,4,4,4
1005302,119880,4,4,4,4,4,4,4,4,4,4,4,4,4
1005501,102664,4,4,4,4,4,4,4,4,4,4,4,4,4
1005502,102664,4,4,4,4,4,4,4,4,4,4,4,4,4
1005503,102666,4,4,4,5,4,5,4,4,4,4,4,4,5
1005503,900106,4,4,4,5,4,5,4,4,4,4,4,4,5
1005503,119769,4,5,4,4,4,4,4,4,4,4,4,4,4
1005503,119777,4,4,4,4,4,4,4,4,4,4,4,4,4
1005602,122096,4,4,4,4,4,4,4,4,4,4,4,4,4
1005603,108416,4,4,3,4,4,4,3,4,4,3,4,4,4
1005604,108416,4,4,3,4,4,4,3,4,4,3,4,4,4
1005604,108422,4,4,4,5,4,4,4,4,4,4,4,4,5
1005604,122096,4,4,4,4,4,4,4,4,4,4,4,4,4
1005605,122096,4,4,4,4,4,4,4,4,4,4,4,4,4
1005801,102673,4,4,4,4,4,4,4,4,4,4,4,4,4
1005801,119784,4,4,4,4,4,4,4,4,4,4,4,4,4
1005801,119794,4,4,3,4,4,4,4,4,4,4,4,4,4
1005802,102674,4,4,4,4,4,4,4,4,4,4,4,4,4
1005802,102673,4,4,4,4,4,4,4,4,4,4,4,4,4
1005802,119784,4,4,4,4,4,4,4,4,4,4,4,4,4
1005802,119794,4,4,3,4,4,4,4,4,4,4,4,4,4
1005802,119797,4,4,4,4,4,4,4,4,4,4,4,4,4
1006102,110772,4,4,4,4,4,4,3,3,3,4,4,5,4
1006102,110774,3,3,3,5,4,5,3,3,3,4,3,3,4
1006102,110775,3,3,3,3,5,3,3,3,3,3,3,3,3
1006102,123407,3,3,4,3,3,3,3,3,3,3,3,3,3
1006103,123410,3,3,3,4,4,2,3,3,3,3,3,3,3
1006201,110838,4,3,3,1,2,2,2,2,2,1,2,3,1
1006201,123718,4,4,4,4,4,4,4,4,4,4,4,4,4
1006201,123720,4,4,4,4,4,4,4,4,4,4,4,4,4
1006202,110838,4,3,3,1,2,2,2,2,2,1,2,3,1
1006202,110847,3,3,3,3,3,3,3,3,3,3,3,3,3
1006202,123718,4,4,4,4,4,4,4,4,4,4,4,4,4
1006202,123720,4,4,4,4,4,4,4,4,4,4,4,4,4
1006203,110833,3,3,5,4,3,4,5,5,5,4,3,2,4
1006203,123720,4,4,4,4,4,4,4,4,4,4,4,4,4
1006204,110833,3,3,5,4,3,4,5,5,5,4,3,2,4
1006204,110849,4,4,4,4,4,4,4,4,4,4,4,4,4
