PID,M_ID,q6_1,q6_1_1
1000101,101372,932,30
1000101,115439,931,10
1000101,115437,911,50
1000102,101372,932,30
1000102,101365,911,240
1000102,115434,931,100
1000102,115437,911,50
1000102,115441,931,260
1000201,110564,923,50
1000202,110564,923,50
1000203,123587,932,30
1000303,110795,923,40
1000304,301114,931,20
1000304,303657,933,370
1000401,110799,932,410
1000401,110800,931,380
1000402,110799,932,410
1000402,110800,931,380
1000402,123596,938,370
1000601,123026,911,240
1000601,123027,911,240
1000601,123028,911,240
1000601,123029,911,240
1000601,123030,911,240
1000602,123026,911,240
1000602,123027,911,240
1000602,123028,911,240
1000602,123029,911,240
1000602,123030,911,240
1000701,121445,937,350
1000701,121451,932,40
1000801,110393,911,20
1000901,110802,932,60
1000901,123598,931,380
1000901,123604,932,10
1000901,123602,932,310
1000902,110802,932,60
1001001,122603,934,370
1001002,108971,935,320
1001002,108977,932,340
1001002,122691,935,320
1001002,122603,934,370
1001002,122692,931,270
1001701,122627,937,410
1001702,109138,931,130
1001702,122627,937,410
1001702,122631,932,60
1001802,121728,921,90
1001803,109002,932,310
1001803,121735,937,10
1001803,121728,921,90
1001902,104009,931,10
1001904,104010,921,10
1001904,900163,921,10
1002201,109014,923,310
1002201,118089,932,30
1002201,118102,932,340
1002202,109023,931,130
1002202,118089,932,30
1002203,118089,932,30
1002302,123176,931,10
1002303,109055,932,60
1002303,109064,931,370
1002303,119525,931,190
1002307,109055,932,60
1002307,109064,931,370
1002307,119525,931,190
1002401,122893,932,30
1002801,110656,931,30
1002801,110654,911,100
1002802,110654,911,100
1002802,110655,923,10
1003101,110663,931,270
1003102,110663,931,270
1003103,110663,931,270
1003103,123219,931,370
1003103,123221,932,60
1003105,110668,923,10
1003105,110663,931,270
1003105,123234,921,90
1003105,123235,921,90
1003106,110663,931,270
1003106,123219,931,370
1003106,123221,932,60
1003201,110361,938,70
1003201,110356,931,190
1003201,110358,931,270
1003201,123244,931,40
1003201,123250,932,310
1003201,110362,931,80
1003201,123251,931,380
1003201,123246,934,40
1003201,123248,931,190
1003201,123249,931,270
1003201,123253,932,60
1003202,110356,931,190
1003202,110358,931,270
1003202,123244,931,40
1003202,123246,934,40
1003202,123248,931,190
1003202,123249,931,270
1003202,123255,911,100
1003301,110262,938,70
1003301,122906,911,60
1003301,122911,911,10
1003301,122912,911,10
1003301,122917,934,30
1003302,110262,938,70
1003302,110264,911,160
1003302,122906,911,60
1003302,110265,911,10
1003302,122911,911,10
1003302,122912,911,10
1003302,122917,934,30
1003304,300694,911,10
1003304,300695,911,10
1003304,300696,931,200
1003304,300697,911,140
1003304,300699,911,20
1003304,300868,911,130
1003304,300869,911,10
1003304,300871,911,10
1003304,301129,911,20
1003304,301936,911,80
1003304,301937,911,10
1003304,301938,911,10
1003304,301939,911,10
1003304,301942,932,340
1003304,301943,911,20
1003304,302795,911,10
1003304,302797,931,190
1003304,302805,911,20
1003304,302806,911,20
1003304,303139,911,10
1003304,303141,911,10
1003304,303142,911,20
1003304,303146,911,30
1003304,303149,911,130
1003304,303387,932,340
1003304,303391,911,10
1003501,122815,932,70
1003502,110236,931,10
1003502,122815,932,70
1003601,109327,931,180
1003602,109327,931,180
1003701,301203,911,180
1003702,301198,931,100
1003901,110237,934,80
1003901,110245,934,40
1003901,122958,934,80
1003901,122961,923,10
1003901,122962,934,40
1003901,122964,935,10
1003901,122966,923,50
1003901,122967,932,310
1003902,110237,934,80
1003902,110245,934,40
1003902,122958,934,80
1003902,122961,923,10
1003902,122962,934,40
1003902,122964,935,10
1003902,122971,931,380
1003902,122966,923,50
1003902,122967,932,310
1004101,109493,939,20
1004101,109494,923,10
1004101,109496,931,370
1004101,109502,931,270
1004101,120877,932,60
1004101,120878,923,310
1004101,120879,931,270
1004101,120882,931,240
1004102,109493,939,20
1004102,109494,923,10
1004102,109496,931,370
1004102,109502,931,270
1004102,120877,932,60
1004102,120878,923,310
1004102,120879,931,270
1004102,120882,931,240
1004202,102681,931,370
1004202,119516,932,60
1004503,108397,932,30
1004503,108400,933,360
1004503,122959,932,310
1004601,102709,931,380
1004601,102710,931,210
1004601,900108,931,380
1004601,900109,931,210
1004602,102708,932,60
1004602,119855,932,60
1004603,102708,932,60
1004701,105799,939,10
1004701,105800,931,210
1004701,119814,932,310
1004702,105799,939,10
1004702,105800,931,210
1004702,119814,932,310
1004901,122509,911,10
1004901,122511,934,70
1004901,122513,935,330
1004902,122509,911,10
1004902,122511,934,70
1004902,122513,935,330
1005101,106351,931,320
1005101,122738,932,330
1005102,106350,931,380
1005102,122738,932,330
1005102,122742,932,60
1005103,106348,931,380
1005104,106353,932,30
1005104,122743,932,30
1005105,106348,931,380
1005201,119811,938,350
1005202,119811,938,350
1005301,102656,925,30
1005301,119859,931,210
1005301,119861,931,10
1005302,102715,932,30
1005302,102656,925,30
1005302,119863,934,380
1005302,119877,931,10
1005302,119878,911,90
1005302,119880,911,220
1005501,102664,933,10
1005502,102664,933,10
1005503,102666,923,40
1005503,900106,923,40
1005503,119769,936,20
1005503,119777,932,320
1005602,122096,921,90
1005603,108416,921,90
1005604,108416,921,90
1005604,108422,921,50
1005604,122096,921,90
1005605,122096,921,90
1005801,102673,933,370
1005801,119784,931,210
1005801,119794,931,210
1005802,102674,931,270
1005802,102673,933,370
1005802,119784,931,210
1005802,119794,931,210
1005802,119797,931,320
1006102,110772,923,320
1006102,110774,931,380
1006102,110775,931,180
1006102,123407,934,30
1006103,123410,936,380
1006201,110838,934,50
1006201,123718,939,20
1006201,123720,932,10
