PID,M_ID,q10_1,q10_3,q10_4,q10_5,q10_7,q10_8,q10_9,q10_10,q6_7,q7_2,loc_code,money,age,age_group,q2_c_2,money_group,label_group,a_c,square_code
1000101,101372,5,4,4,4,4,4,4,4,4,650000,932030,92857,40,3,7,2,8,강원 강릉시,9320308
1000102,101372,5,4,4,4,4,4,4,4,4,650000,932030,92857,40,3,7,2,8,강원 강릉시,9320308
1000203,123587,4,3,3,4,3,4,3,9,4,600000,932030,300000,46,4,2,3,12,강원 강릉시,93203012
1002201,118089,4,4,4,4,4,4,4,4,4,150000,932030,50000,72,5,3,2,14,강원 강릉시,93203014
1002202,118089,4,4,4,4,4,4,4,4,4,150000,932030,50000,69,5,3,2,14,강원 강릉시,93203014
1002203,118089,4,4,4,4,4,4,4,4,4,150000,932030,50000,43,3,3,2,8,강원 강릉시,9320308
1002401,122893,3,3,3,3,3,3,3,3,4,100000,932030,33333,76,5,3,1,13,강원 강릉시,93203013
1004503,108397,4,4,4,3,4,3,3,3,4,250000,932030,83333,22,2,3,2,5,강원 강릉시,9320305
1005104,106353,4,4,4,4,4,4,4,4,4,200000,932030,66667,37,3,3,2,8,강원 강릉시,9320308
1005104,122743,4,4,4,4,4,4,4,4,4,100000,932030,50000,37,3,2,2,8,강원 강릉시,9320308
1005302,102715,4,4,9,4,4,4,4,4,4,29000,932030,29000,70,5,1,1,13,강원 강릉시,93203013
1006204,123727,4,4,9,4,4,4,4,9,4,40000,932030,40000,24,2,1,1,4,강원 강릉시,9320304
1008101,123639,4,4,9,4,4,4,4,9,3,75000,932030,37500,78,5,2,1,13,강원 강릉시,93203013
1008102,123639,4,4,9,4,4,4,4,9,3,75000,932030,37500,76,5,2,1,13,강원 강릉시,93203013
1008302,123635,4,4,4,4,4,4,4,4,4,1000000,932030,500000,38,3,2,3,9,강원 강릉시,9320309
1008602,122609,5,3,4,4,3,4,4,3,4,200000,932030,100000,55,4,2,3,12,강원 강릉시,93203012
1010201,106465,5,3,4,4,3,3,4,4,4,100000,932030,50000,46,4,2,2,11,강원 강릉시,93203011
1010202,106465,5,3,4,4,3,3,4,4,4,100000,932030,50000,42,3,2,2,8,강원 강릉시,9320308
1011103,102063,4,4,4,4,4,4,4,4,4,320000,932030,160000,35,3,2,3,9,강원 강릉시,9320309
1011103,900077,4,4,4,4,4,4,4,4,4,320000,932030,160000,35,3,2,3,9,강원 강릉시,9320309
1012401,103066,5,3,4,4,4,4,3,9,4,66667,932030,33334,51,4,2,1,10,강원 강릉시,93203010
1012402,103066,5,3,4,4,4,4,3,9,4,66667,932030,33334,21,2,2,1,4,강원 강릉시,9320304
1012403,103066,5,3,4,4,4,4,3,9,4,66667,932030,33334,18,1,2,1,1,강원 강릉시,9320301
1013201,109794,5,4,4,4,4,3,3,4,5,62500,932030,31250,53,4,2,1,10,강원 강릉시,93203010
1013202,109794,5,4,4,4,4,3,3,4,5,62500,932030,31250,52,4,2,1,10,강원 강릉시,93203010
1013203,109794,5,4,4,4,4,3,3,4,5,62500,932030,31250,27,2,2,1,4,강원 강릉시,9320304
1013204,109794,5,4,4,4,4,3,3,4,5,62500,932030,31250,24,2,2,1,4,강원 강릉시,9320304
1014204,123766,5,4,4,4,4,4,4,4,4,150000,932030,50000,26,2,3,2,5,강원 강릉시,9320305
1014301,120288,4,3,4,4,4,3,3,3,4,600000,932030,300000,65,5,2,3,15,강원 강릉시,93203015
1014302,120288,4,3,4,4,4,3,3,3,4,600000,932030,300000,65,5,2,3,15,강원 강릉시,93203015
1015103,118024,5,4,4,4,4,3,3,4,4,300000,932030,100000,35,3,3,3,9,강원 강릉시,9320309
1016501,117151,4,4,9,4,4,4,4,4,4,85000,932030,85000,45,3,1,2,8,강원 강릉시,9320308
1016502,117151,4,4,9,4,4,4,4,4,4,85000,932030,85000,42,3,1,2,8,강원 강릉시,9320308
1019204,118829,4,4,4,4,4,4,4,4,4,330000,932030,110000,17,1,3,3,3,강원 강릉시,9320303
1019704,104021,4,4,4,4,4,4,4,4,4,280000,932030,140000,25,2,2,3,6,강원 강릉시,9320306
1021103,115443,4,4,4,4,4,4,4,4,4,600000,932030,200000,31,3,3,3,9,강원 강릉시,9320309
1021201,115451,5,4,4,4,4,4,4,4,4,400000,932030,200000,69,5,2,3,15,강원 강릉시,93203015
1021501,117485,4,4,9,4,4,4,4,4,4,100000,932030,50000,76,5,2,2,14,강원 강릉시,93203014
1021502,117485,4,4,9,4,4,4,4,4,4,100000,932030,50000,74,5,2,2,14,강원 강릉시,93203014
1021503,117485,4,4,9,4,4,4,4,4,4,100000,932030,50000,47,4,2,2,11,강원 강릉시,93203011
1024103,118438,4,4,4,4,4,4,4,4,4,350000,932030,87500,16,1,4,2,2,강원 강릉시,9320302
1026401,118750,4,4,4,4,4,4,4,4,4,200000,932030,66667,42,3,3,2,8,강원 강릉시,9320308
1026402,118750,4,4,4,4,4,4,4,4,4,200000,932030,66667,45,3,3,2,8,강원 강릉시,9320308
1028104,301466,4,3,5,4,4,3,3,3,4,106250,932030,26563,36,3,4,1,7,강원 강릉시,9320307
